dataset,experiment,model,status,expected_samples,raw_rows,unique_final_rows,success_rows,terminal_skips,retryable_errors,missing_samples_est,duplicate_rows_removed,completion_rate,source_file,notes
NIAH framework_v2_without_fast16k,niah,hunyuan_a13b,incomplete,750,750,750,0,0,750,0,0,0.0,results\raw\niah_batch\framework_v2_without_fast16k\framework_v2_extra\hunyuan_a13b.jsonl,This is the no-fast16k continuation suite in the current workspace.
NIAH framework_v2_without_fast16k,niah,qwen35_122b_a10b,incomplete,750,750,750,0,150,600,0,0,0.2,results\raw\niah_batch\framework_v2_without_fast16k\framework_v2_extra\qwen35_122b_a10b.jsonl,This is the no-fast16k continuation suite in the current workspace.
NIAH framework_v2_without_fast16k,niah,qwen35_27b,incomplete,750,750,750,333,150,267,0,0,0.644,results\raw\niah_batch\framework_v2_without_fast16k\framework_v2_extra\qwen35_27b.jsonl,This is the no-fast16k continuation suite in the current workspace.
NIAH framework_v2_without_fast16k,niah,qwen35_35b_a3b,incomplete,750,750,750,294,0,456,0,0,0.392,results\raw\niah_batch\framework_v2_without_fast16k\framework_v2_extra\qwen35_35b_a3b.jsonl,This is the no-fast16k continuation suite in the current workspace.
NIAH framework_v2_without_fast16k,niah,qwen35_9b,incomplete,750,750,750,505,0,245,0,0,0.673333,results\raw\niah_batch\framework_v2_without_fast16k\framework_v2_extra\qwen35_9b.jsonl,This is the no-fast16k continuation suite in the current workspace.
NIAH framework_v2_without_fast16k,niah,qwen3_14b_no_thinking,incomplete,750,750,750,0,150,600,0,0,0.2,results\raw\niah_batch\framework_v2_without_fast16k\framework_v2_extra\qwen3_14b_no_thinking.jsonl,This is the no-fast16k continuation suite in the current workspace.
NIAH framework_v2_without_fast16k,niah,qwen3_14b_thinking,incomplete,750,750,750,0,150,600,0,0,0.2,results\raw\niah_batch\framework_v2_without_fast16k\framework_v2_extra\qwen3_14b_thinking.jsonl,This is the no-fast16k continuation suite in the current workspace.
NIAH framework_v2_without_fast16k,niah,qwen3_8b,incomplete,750,750,750,357,150,243,0,0,0.676,results\raw\niah_batch\framework_v2_without_fast16k\framework_v2_extra\qwen3_8b.jsonl,This is the no-fast16k continuation suite in the current workspace.
NIAH framework_v2_without_fast16k,niah,seed_oss_36b,incomplete,750,750,750,0,150,600,0,0,0.2,results\raw\niah_batch\framework_v2_without_fast16k\framework_v2_extra\seed_oss_36b.jsonl,This is the no-fast16k continuation suite in the current workspace.
LongBench framework_v2,longbench,hunyuan_a13b,incomplete,1750,6784,1750,1373,0,377,0,5034,0.784571,results\raw\longbench_ruler_batch\framework_v2\longbench_ruler_main\longbench\hunyuan_a13b.jsonl,
LongBench framework_v2,longbench,qwen35_122b_a10b,incomplete,1750,6910,1750,1304,88,358,0,5160,0.795429,results\raw\longbench_ruler_batch\framework_v2\longbench_ruler_main\longbench\qwen35_122b_a10b.jsonl,
LongBench framework_v2,longbench,qwen35_27b,incomplete,1750,4301,1750,1625,88,37,0,2551,0.978857,results\raw\longbench_ruler_batch\framework_v2\longbench_ruler_main\longbench\qwen35_27b.jsonl,
LongBench framework_v2,longbench,qwen35_35b_a3b,incomplete,1750,5580,1750,1674,0,76,0,3830,0.956571,results\raw\longbench_ruler_batch\framework_v2\longbench_ruler_main\longbench\qwen35_35b_a3b.jsonl,
LongBench framework_v2,longbench,qwen35_9b,incomplete,1750,1945,1750,1749,0,1,0,195,0.999429,results\raw\longbench_ruler_batch\framework_v2\longbench_ruler_main\longbench\qwen35_9b.jsonl,
LongBench framework_v2,longbench,qwen3_14b_no_thinking,incomplete,1750,3556,1750,1563,88,99,0,1806,0.943429,results\raw\longbench_ruler_batch\framework_v2\longbench_ruler_main\longbench\qwen3_14b_no_thinking.jsonl,
LongBench framework_v2,longbench,qwen3_14b_thinking,incomplete,1750,2995,1750,700,88,962,0,1245,0.450286,results\raw\longbench_ruler_batch\framework_v2\longbench_ruler_main\longbench\qwen3_14b_thinking.jsonl,
LongBench framework_v2,longbench,qwen3_8b,incomplete,1750,3832,1750,1613,88,49,0,2082,0.972,results\raw\longbench_ruler_batch\framework_v2\longbench_ruler_main\longbench\qwen3_8b.jsonl,
LongBench framework_v2,longbench,seed_oss_36b,incomplete,1750,4968,1750,1589,88,73,0,3218,0.958286,results\raw\longbench_ruler_batch\framework_v2\longbench_ruler_main\longbench\seed_oss_36b.jsonl,
RULER framework_v2,ruler,hunyuan_a13b,incomplete,900,900,900,0,0,900,0,0,0.0,results\raw\longbench_ruler_batch\framework_v2\longbench_ruler_main\ruler\hunyuan_a13b.jsonl,Expected count follows the configured fallback suite: 6 tasks x 3 lengths x 50 samples.
RULER framework_v2,ruler,qwen35_122b_a10b,incomplete,900,900,900,0,0,900,0,0,0.0,results\raw\longbench_ruler_batch\framework_v2\longbench_ruler_main\ruler\qwen35_122b_a10b.jsonl,Expected count follows the configured fallback suite: 6 tasks x 3 lengths x 50 samples.
