aggregate,model,mean_accuracy,mean_error_rate,n_groups
niah_without_fast16k,hunyuan_a13b,0.0,1.0,13
niah_without_fast16k,qwen35_122b_a10b,0.0,1.0,10
niah_without_fast16k,qwen35_27b,0.572,0.428,10
niah_without_fast16k,qwen35_35b_a3b,0.387692,0.612308,13
niah_without_fast16k,qwen35_9b,0.659231,0.340769,13
niah_without_fast16k,qwen3_14b_no_thinking,0.0,1.0,10
niah_without_fast16k,qwen3_14b_thinking,0.0,1.0,10
niah_without_fast16k,qwen3_8b,0.598,0.39,10
niah_without_fast16k,seed_oss_36b,0.0,1.0,10
longbench_framework_v2,hunyuan_a13b,0.225545,0.211481,9
longbench_framework_v2,qwen35_122b_a10b,0.299924,0.221135,9
longbench_framework_v2,qwen35_27b,0.372615,0.030411,9
longbench_framework_v2,qwen35_35b_a3b,0.357605,0.042222,9
longbench_framework_v2,qwen35_9b,0.363581,0.000556,9
longbench_framework_v2,qwen3_14b_no_thinking,0.316934,0.062576,9
longbench_framework_v2,qwen3_14b_thinking,0.140067,0.609444,9
longbench_framework_v2,qwen3_8b,0.227914,0.035024,9
longbench_framework_v2,seed_oss_36b,0.367485,0.055749,9
ruler_framework_v2,hunyuan_a13b,0.0,1.0,18
ruler_framework_v2,qwen35_122b_a10b,0.0,1.0,18
ruler_framework_v2,qwen35_27b,0.0,1.0,18
ruler_framework_v2,qwen35_35b_a3b,0.0,1.0,18
ruler_framework_v2,qwen35_9b,0.161111,0.838889,18
ruler_framework_v2,qwen3_14b_no_thinking,0.0,1.0,18
ruler_framework_v2,qwen3_14b_thinking,0.0,1.0,18
ruler_framework_v2,qwen3_8b,0.16817,0.712222,18
ruler_framework_v2,seed_oss_36b,0.0,1.0,18
pac_A_position,hunyuan_a13b,0.733,0.266,20
pac_A_position,qwen35_122b_a10b,0.704,0.296,20
pac_A_position,qwen35_27b,0.931,0.069,20
pac_A_position,qwen35_35b_a3b,0.912,0.084,20
pac_A_position,qwen35_9b,0.988,0.0,20
pac_A_position,qwen3_14b_no_thinking,0.883,0.116,20
pac_A_position,qwen3_14b_thinking,0.883,0.116,20
pac_A_position,qwen3_8b,0.891,0.108,20
pac_A_position,seed_oss_36b,0.699,0.27,20
pac_B_interference,hunyuan_a13b,0.0,1.0,45
pac_B_interference,qwen35_122b_a10b,0.0,1.0,45
pac_B_interference,qwen35_27b,0.761667,0.238333,45
pac_B_interference,qwen35_35b_a3b,0.057222,0.942778,45
pac_B_interference,qwen35_9b,0.935556,0.040556,45
pac_B_interference,qwen3_14b_no_thinking,0.0,1.0,45
pac_B_interference,qwen3_14b_thinking,0.071667,0.928333,15
pac_B_interference,qwen3_8b,0.751667,0.248333,45
pac_B_interference,seed_oss_36b,0.0,1.0,45
