experiment,subtask,model,provider,api_model,length,position,density,interference_type,similarity,distance,hops,hop_distance,chain_type,implementation,n_samples,n_success,accuracy,f1,rouge_l,mean_latency,p50_latency,p95_latency,error_rate,effective_context_length,effective_context_length_abs80,middle_drop,relative_middle_drop,density_accuracy_slope,density_accuracy_pearson,critical_density_threshold,top_error_type
niah,multi,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16384,,,,,,,,,,100,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,multi,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32768,,,,,,,,,,100,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,multi,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16384,,,,,,,,,,100,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,multi,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32768,,,,,,,,,,100,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,multi,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16384,,,,,,,,,,100,63,0.63,,,10.00293320200406,5.534851250005886,57.443638309993545,0.37,,,,,,,,
niah,multi,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32768,,,,,,,,,,100,31,0.31,,,3.8032140270015224,0.0,15.11279396000318,0.69,,,,,,,,
niah,multi,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16384,,,,,,,,,,100,58,0.58,,,3.042698076997185,1.6654505499755032,4.934503015037619,0.42,,,,,,,,
niah,multi,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,32768,,,,,,,,,,100,26,0.26,,,1.1000830069975926,0.0,4.845474935043604,0.74,,,,,,,,
niah,multi,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,16384,,,,,,,,,,100,100,1.0,,,4.42277702699299,3.2431719499872997,6.349620174971641,0.0,,,,,,,,
niah,multi,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,32768,,,,,,,,,,100,53,0.53,,,4.8995851379993836,3.913864800008014,9.344303835078604,0.47,,,,,,,,
niah,multi,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,16384,,,,,,,,,,100,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,multi,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,32768,,,,,,,,,,100,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,multi,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,16384,,,,,,,,,,100,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,multi,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,32768,,,,,,,,,,100,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,multi,qwen3_8b,siliconflow,Qwen/Qwen3-8B,16384,,,,,,,,,,100,67,0.57,,,4.460618095992832,2.747977049963083,15.79541150992734,0.33,,,,,,,,
niah,multi,qwen3_8b,siliconflow,Qwen/Qwen3-8B,32768,,,,,,,,,,100,37,0.37,,,3.3308037069952117,0.0,15.378322744916657,0.63,,,,,,,,
niah,multi,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,16384,,,,,,,,,,100,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,multi,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,32768,,,,,,,,,,100,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,sequential,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16384,,,,,,,,,,50,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,sequential,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32768,,,,,,,,,,50,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,sequential,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16384,,,,,,,,,,50,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,sequential,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32768,,,,,,,,,,50,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,sequential,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16384,,,,,,,,,,50,26,0.52,,,3.468370120008476,4.032651100016665,9.87814761501504,0.48,,,,,,,,
niah,sequential,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32768,,,,,,,,,,50,15,0.3,,,3.3835220319987274,0.0,13.759962545009328,0.7,,,,,,,,
niah,sequential,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16384,,,,,,,,,,50,24,0.48,,,1.5158030980057082,0.0,5.146297559991942,0.52,,,,,,,,
niah,sequential,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,32768,,,,,,,,,,50,13,0.26,,,1.132622106000781,0.0,5.06079426498618,0.74,,,,,,,,
niah,sequential,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,16384,,,,,,,,,,50,50,1.0,,,4.130604986001272,3.2084893999854103,7.504073589993641,0.0,,,,,,,,
niah,sequential,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,32768,,,,,,,,,,50,25,0.5,,,2.8925965979881583,1.9439904500031844,6.8181104299612345,0.5,,,,,,,,
