experiment,subtask,model,provider,api_model,length,position,density,interference_type,similarity,distance,hops,hop_distance,chain_type,implementation,n_samples,n_success,accuracy,f1,rouge_l,mean_latency,p50_latency,p95_latency,error_rate,effective_context_length,effective_context_length_abs80,middle_drop,relative_middle_drop,density_accuracy_slope,density_accuracy_pearson,critical_density_threshold,top_error_type
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16000,10,,,,,,,,,50,39,0.78,,,1.5597270699916408,1.6363593999994919,3.2118780400254763,0.22,,,0.07999999999999996,0.11428571428571424,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16000,25,,,,,,,,,50,30,0.6,,,1.3465885179978796,1.5724752999958582,3.1716890350275206,0.4,,,0.07999999999999996,0.11428571428571424,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16000,50,,,,,,,,,50,31,0.62,,,1.4846853840048424,1.5879679499776103,3.3092509450390932,0.38,,,0.07999999999999996,0.11428571428571424,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16000,75,,,,,,,,,50,34,0.68,,,1.2919306680047884,1.581124650023412,3.149311449902598,0.32,,,0.07999999999999996,0.11428571428571424,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16000,90,,,,,,,,,50,31,0.62,,,1.4585326380026526,1.6146417499985546,3.4289441050263116,0.38,,,0.07999999999999996,0.11428571428571424,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32000,10,,,,,,,,,50,22,0.44,,,1.723781090003904,0.0,4.860843714943622,0.56,,,0.010000000000000009,0.024390243902439043,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32000,25,,,,,,,,,50,21,0.42,,,1.677500475984998,0.0,4.872671284968964,0.58,,,0.010000000000000009,0.024390243902439043,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32000,50,,,,,,,,,50,21,0.4,,,1.6572138500050642,0.0,4.953551930014509,0.58,,,0.010000000000000009,0.024390243902439043,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32000,75,,,,,,,,,50,16,0.32,,,1.3407229660032316,0.0,4.897178729996085,0.68,,,0.010000000000000009,0.024390243902439043,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32000,90,,,,,,,,,50,19,0.38,,,1.5227079740003682,0.0,4.7707255300076215,0.62,,,0.010000000000000009,0.024390243902439043,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,4000,10,,,,,,,,,50,50,1.0,,,1.5745916340011172,0.773924000095576,2.2494573299656624,0.0,,,0.0,0.0,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,4000,25,,,,,,,,,50,50,1.0,,,1.2860960020101628,1.1143319500260986,2.3426050749782004,0.0,,,0.0,0.0,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,4000,50,,,,,,,,,50,50,1.0,,,1.5131715080095456,1.2679966500145383,2.754670644993894,0.0,,,0.0,0.0,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,4000,75,,,,,,,,,50,50,1.0,,,1.3873436219920405,1.231612550036516,2.524785479973069,0.0,,,0.0,0.0,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,4000,90,,,,,,,,,50,50,1.0,,,1.5983495459984989,1.4568061499739997,2.624671895004576,0.0,,,0.0,0.0,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,8000,10,,,,,,,,,50,46,0.92,,,1.5094756119907833,1.4039306999766268,2.6245997750258536,0.08,,,-0.020000000000000018,-0.02222222222222224,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,8000,25,,,,,,,,,50,42,0.84,,,1.518899718001485,1.4337056000367738,2.8071552000008513,0.16,,,-0.020000000000000018,-0.02222222222222224,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,8000,50,,,,,,,,,50,46,0.92,,,1.502496039988473,1.094464199966751,2.90789769492112,0.08,,,-0.020000000000000018,-0.02222222222222224,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,8000,75,,,,,,,,,50,42,0.84,,,1.4154489019908942,1.2216211999766529,3.2229789050179525,0.16,,,-0.020000000000000018,-0.02222222222222224,,,,correct
pac,A_position,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,8000,90,,,,,,,,,50,44,0.88,,,1.5762531999964267,1.024276199983433,3.208729105012025,0.12,,,-0.020000000000000018,-0.02222222222222224,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16000,10,,,,,,,,,50,34,0.68,,,1.1521512140030972,1.139240599994082,2.767180799995549,0.32,,,0.010000000000000009,0.015873015873015886,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16000,25,,,,,,,,,50,29,0.58,,,1.0164067000010981,1.0725354999885894,2.8574763450829774,0.42,,,0.010000000000000009,0.015873015873015886,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16000,50,,,,,,,,,50,31,0.62,,,1.1581604919978417,1.145381900074426,3.006831450026948,0.38,,,0.010000000000000009,0.015873015873015886,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16000,75,,,,,,,,,50,33,0.66,,,2.0428451320016756,1.1858173499931581,6.708284850098412,0.34,,,0.010000000000000009,0.015873015873015886,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16000,90,,,,,,,,,50,29,0.58,,,1.074287513999734,1.1011672000167891,3.128041825006948,0.42,,,0.010000000000000009,0.015873015873015886,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32000,10,,,,,,,,,50,20,0.4,,,1.062771314000711,0.0,3.4834522650286086,0.6,,,0.030000000000000027,0.07692307692307698,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32000,25,,,,,,,,,50,20,0.4,,,1.1541617740085348,0.0,3.717442885076161,0.6,,,0.030000000000000027,0.07692307692307698,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32000,50,,,,,,,,,50,18,0.36,,,0.919091077989433,0.0,3.409001969872041,0.64,,,0.030000000000000027,0.07692307692307698,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32000,75,,,,,,,,,50,16,0.32,,,0.871063167990651,0.0,3.6074652549170425,0.68,,,0.030000000000000027,0.07692307692307698,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32000,90,,,,,,,,,50,19,0.38,,,0.9989653939986601,0.0,3.4900962849496855,0.62,,,0.030000000000000027,0.07692307692307698,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,4000,10,,,,,,,,,50,46,0.92,,,0.9804351680073887,0.6263681501150131,2.422756609937641,0.08,,,-0.040000000000000036,-0.041666666666666706,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,4000,25,,,,,,,,,50,50,1.0,,,1.1343437679996713,0.5969201999832876,2.3958815500081982,0.0,,,-0.040000000000000036,-0.041666666666666706,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,4000,50,,,,,,,,,50,50,1.0,,,1.0164609699859284,0.6630273499758914,2.2562086499354335,0.0,,,-0.040000000000000036,-0.041666666666666706,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,4000,75,,,,,,,,,50,50,1.0,,,1.218333502006717,0.8544212500564754,2.4595051300129853,0.0,,,-0.040000000000000036,-0.041666666666666706,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,4000,90,,,,,,,,,50,50,1.0,,,0.981610528002493,0.6676874000113457,2.112024265027139,0.0,,,-0.040000000000000036,-0.041666666666666706,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,8000,10,,,,,,,,,50,44,0.88,,,1.6384743780014106,0.8383644500281662,3.430144184932577,0.12,,,0.010000000000000009,0.011764705882352951,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,8000,25,,,,,,,,,50,41,0.82,,,1.2019531580084004,1.1731669500586577,2.6442784300132187,0.18,,,0.010000000000000009,0.011764705882352951,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,8000,50,,,,,,,,,50,42,0.84,,,1.3291079359943978,1.1427860999829136,2.5897876050090414,0.16,,,0.010000000000000009,0.011764705882352951,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,8000,75,,,,,,,,,50,41,0.82,,,1.2002824340201914,1.1211980000371113,2.440474520041607,0.18,,,0.010000000000000009,0.011764705882352951,,,,correct
pac,A_position,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,8000,90,,,,,,,,,50,41,0.82,,,1.2914038359979167,1.196849950007163,2.535432205023244,0.18,,,0.010000000000000009,0.011764705882352951,,,,correct
pac,A_position,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16000,10,,,,,,,,,50,46,0.92,,,5.985926767992787,4.715770450013224,18.549327965086547,0.08,,,-0.07000000000000006,-0.07526881720430115,,,,correct
pac,A_position,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16000,25,,,,,,,,,50,50,1.0,,,6.473113812003285,4.796730750007555,14.557632040040328,0.0,,,-0.07000000000000006,-0.07526881720430115,,,,correct
pac,A_position,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16000,50,,,,,,,,,50,50,1.0,,,7.933623477995861,4.103711050061975,15.63339579998863,0.0,,,-0.07000000000000006,-0.07526881720430115,,,,correct
pac,A_position,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16000,75,,,,,,,,,50,48,0.96,,,5.464534070007503,4.3692164499661885,11.513768660009372,0.04,,,-0.07000000000000006,-0.07526881720430115,,,,correct
pac,A_position,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16000,90,,,,,,,,,50,47,0.94,,,6.204468712010421,5.765006550063845,14.603646014985863,0.06,,,-0.07000000000000006,-0.07526881720430115,,,,correct
