experiment,subtask,model,provider,api_model,length,position,density,interference_type,similarity,distance,hops,hop_distance,chain_type,implementation,n_samples,n_success,accuracy,f1,rouge_l,mean_latency,p50_latency,p95_latency,error_rate,effective_context_length,effective_context_length_abs80,middle_drop,relative_middle_drop,density_accuracy_slope,density_accuracy_pearson,critical_density_threshold,top_error_type,source_aggregate,dataset_status_label
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,16000,10,,,,,,,,,50,50,0.98,,,2.629701557995286,2.190781050012447,4.837763325014383,0.0,,,0.010000000000000009,0.01010101010101011,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,16000,25,,,,,,,,,50,50,0.98,,,4.264330450003035,2.198646250006277,9.496890419983533,0.0,,,0.010000000000000009,0.01010101010101011,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,16000,50,,,,,,,,,50,50,0.98,,,3.1007266439986414,2.321119149972219,7.208824600040678,0.0,,,0.010000000000000009,0.01010101010101011,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,16000,75,,,,,,,,,50,50,0.98,,,3.5515132679929957,2.7604293499607593,6.757398374949114,0.0,,,0.010000000000000009,0.01010101010101011,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,16000,90,,,,,,,,,50,50,1.0,,,3.7087915219925343,2.701465550053399,9.123621540004386,0.0,,,0.010000000000000009,0.01010101010101011,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,32000,10,,,,,,,,,50,50,0.98,,,5.941777976013254,4.826548750046641,14.351357175008147,0.0,,,-0.020000000000000018,-0.02040816326530614,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,32000,25,,,,,,,,,50,50,1.0,,,4.888293592000846,4.482335999957286,8.995128120022127,0.0,,,-0.020000000000000018,-0.02040816326530614,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,32000,50,,,,,,,,,50,50,1.0,,,4.862835378004238,4.265050449990667,7.45749934996129,0.0,,,-0.020000000000000018,-0.02040816326530614,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,32000,75,,,,,,,,,50,50,0.98,,,4.747361217997968,3.962689350009896,7.546669634984571,0.0,,,-0.020000000000000018,-0.02040816326530614,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,32000,90,,,,,,,,,50,50,0.98,,,6.4339297619950955,4.841725199948996,10.73223128498066,0.0,,,-0.020000000000000018,-0.02040816326530614,,,,correct,pac_A_position.csv,PAC A position
