experiment,subtask,model,provider,api_model,length,position,density,interference_type,similarity,distance,hops,hop_distance,implementation,n_samples,n_success,accuracy,f1,rouge_l,mean_latency,p50_latency,p95_latency,error_rate,effective_context_length,effective_context_length_abs80,middle_drop,relative_middle_drop,density_accuracy_slope,density_accuracy_pearson,critical_density_threshold,top_error_type
niah,multi,qwen3_8b,local,qwen3_8b,16384,,,,,,,,,2,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,multi,qwen3_8b,local,qwen3_8b,32768,,,,,,,,,2,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,sequential,qwen3_8b,local,qwen3_8b,16384,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,sequential,qwen3_8b,local,qwen3_8b,32768,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,qwen3_8b,local,qwen3_8b,32768,10,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,qwen3_8b,local,qwen3_8b,32768,50,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,qwen3_8b,local,qwen3_8b,32768,90,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,qwen3_8b,local,qwen3_8b,4096,10,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,qwen3_8b,local,qwen3_8b,4096,50,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,qwen3_8b,local,qwen3_8b,4096,90,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,qwen3_8b,local,qwen3_8b,65536,10,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,qwen3_8b,local,qwen3_8b,65536,50,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,qwen3_8b,local,qwen3_8b,65536,90,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
