experiment,subtask,model,provider,api_model,length,position,density,interference_type,similarity,distance,hops,hop_distance,chain_type,implementation,n_samples,n_success,accuracy,f1,rouge_l,mean_latency,p50_latency,p95_latency,error_rate,effective_context_length,effective_context_length_abs80,middle_drop,relative_middle_drop,density_accuracy_slope,density_accuracy_pearson,critical_density_threshold,top_error_type
longbench,2wikimqa,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,,,,,,,,,,,710,160,0.11626542924814878,0.7305172988158021,,0.3407032985927235,0.0,2.2906890949467194,0.7746478873239436,,,,,,,,
longbench,2wikimqa,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,,,,,,,,,,,766,87,0.07954329370010525,0.8830458402069655,,0.19049606122734272,0.0,1.8659222250280436,0.8864229765013055,,,,,,,,
longbench,2wikimqa,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,,,,,,,,,,,427,200,0.297616760028938,0.8886878079185772,,1.6281584463697318,0.0,6.207656110031529,0.531615925058548,,,,,,,,
longbench,2wikimqa,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,,,,,,,,,,,448,200,0.2778152356695883,0.8827037275175573,,1.80851916071515,0.0,2.281004014995414,0.5535714285714286,,,,,,,,
longbench,2wikimqa,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,,,,,,,,,,,200,200,0.6156419179436867,0.8987473254652361,,2.2302507529978173,1.481078399985563,4.285046664916453,0.0,,,,,,,,
longbench,2wikimqa,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,,,,,,,,,,,400,191,0.20831298332613535,0.7506774173914788,,2.329382632248453,0.0,4.655376560066365,0.5225,,,,,,,,
longbench,2wikimqa,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,,,,,,,,,,,200,200,0.6148846292347626,0.8198461723130168,,12.645014691007091,6.821008550003171,28.773098795022836,0.0,,,,,,,,
longbench,2wikimqa,qwen3_8b,siliconflow,Qwen/Qwen3-8B,,,,,,,,,,,285,200,0.17519452323172305,0.4895141090298144,,2.5026802831598998,1.7408781000413,7.842127200006518,0.2982456140350877,,,,,,,,
longbench,2wikimqa,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,,,,,,,,,,,667,200,0.22536510418021685,0.8947531219535991,,4.078951855773571,0.0,14.749000709981193,0.7001499250374813,,,,,,,,
longbench,gov_report,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,,,,,,,,,,,736,122,0.0065755843445683285,,0.03966909899674008,0.39195405122328614,0.0,2.530472725018626,0.8342391304347826,,,,,,,,
longbench,gov_report,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,,,,,,,,,,,756,92,0.007183657901145167,,0.059030927970279846,0.3287489746028013,0.0,2.4779282500676345,0.8783068783068783,,,,,,,,
longbench,gov_report,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,,,,,,,,,,,456,197,0.03168725529426548,,0.07334714931058406,2.778780802193388,0.0,10.831453024991788,0.5679824561403509,,,,,,,,
longbench,gov_report,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,,,,,,,,,,,531,196,0.029379576665622388,,0.07959466943594637,19.154420715065676,0.0,5.04951230000006,0.6308851224105462,,,,,,,,
longbench,gov_report,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,,,,,,,,,,,208,200,0.05031550208709413,,0.0523281221705779,3.508861921156215,2.756077149999328,9.408972775028092,0.038461538461538464,,,,,,,,
longbench,gov_report,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,,,,,,,,,,,394,185,0.060285054111518604,,0.12839087199966664,3.615572167006156,0.0,13.4040106350265,0.5304568527918782,,,,,,,,
longbench,gov_report,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,,,,,,,,,,,197,197,0.06154119192572106,,0.06154119192572106,18.310923533508234,14.64205460017547,40.14484085999429,0.0,,,,,,,,
longbench,gov_report,qwen3_8b,siliconflow,Qwen/Qwen3-8B,,,,,,,,,,,412,197,0.06334605233760836,,0.13248006884819616,4.082219386408874,0.0,18.18404228493455,0.5218446601941747,,,,,,,,
longbench,gov_report,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,,,,,,,,,,,591,197,0.024171118516032524,,0.07251335554809757,13.980037560744774,0.0,56.84629784995923,0.6666666666666666,,,,,,,,
longbench,hotpotqa,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,,,,,,,,,,,736,108,0.06854273686504969,0.6817223558469807,,0.30693484633277124,0.0,2.1753606499405578,0.8532608695652174,,,,,,,,
longbench,hotpotqa,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,,,,,,,,,,,776,90,0.08390849668716059,0.868173245723155,,0.23930974613386685,0.0,1.815391499956604,0.884020618556701,,,,,,,,
longbench,hotpotqa,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,,,,,,,,,,,534,195,0.23542405194526794,0.8437345217367321,,1.6264579597372677,0.0,6.114232900022762,0.6348314606741573,,,,,,,,
longbench,hotpotqa,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,,,,,,,,,,,589,182,0.2035956084519081,0.8504809459444955,,5.244134356876708,0.0,2.9065268199890864,0.6910016977928692,,,,,,,,
longbench,hotpotqa,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,,,,,,,,,,,200,200,0.6125422384545857,0.8333908006184839,,2.880750499499263,2.0713134999969043,6.255662555020554,0.0,,,,,,,,
longbench,hotpotqa,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,,,,,,,,,,,400,126,0.19108937601698184,0.8045868463872919,,0.8644188202510122,0.0,3.6204023799160496,0.685,,,,,,,,
longbench,hotpotqa,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,,,,,,,,,,,200,20,0.05597768050709227,0.7463690734278969,,11.62803206099663,0.0,15.42663081007779,0.9,,,,,,,,
longbench,hotpotqa,qwen3_8b,siliconflow,Qwen/Qwen3-8B,,,,,,,,,,,490,198,0.11211496251313174,0.46193017121070445,,1.884379907754459,0.0,8.491486805042952,0.5959183673469388,,,,,,,,
longbench,hotpotqa,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,,,,,,,,,,,517,190,0.2393757976794085,0.8361978878395554,,9.182576697292049,0.0,41.55814621997996,0.632495164410058,,,,,,,,
longbench,multi_news,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,,,,,,,,,,,499,197,0.026705476858749928,,0.06764483732241733,0.4796685186370588,0.0,2.1633140299934897,0.6052104208416834,,,,,,,,
longbench,multi_news,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,,,,,,,,,,,705,193,0.01186514029023368,,0.04334157463530956,6.706168256027637,0.0,2.003148780041374,0.7262411347517731,,,,,,,,
longbench,multi_news,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,,,,,,,,,,,406,200,0.03306242882984563,,0.06711673052458662,1.2706803450704405,0.0,4.613057899987325,0.5073891625615764,,,,,,,,
longbench,multi_news,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,,,,,,,,,,,410,198,0.014342243196471519,,0.029698584396733955,0.6721957160994728,0.0,2.016738705022726,0.5170731707317073,,,,,,,,
longbench,multi_news,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,,,,,,,,,,,200,200,0.05590885058108755,,0.05590885058108755,1.9109914240060606,1.1293905000202358,4.752790110028585,0.0,,,,,,,,
longbench,multi_news,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,,,,,,,,,,,400,200,0.0693665396363591,,0.1387330792727182,1.5000005905033322,0.23162624996621162,5.701344674977011,0.5,,,,,,,,
longbench,multi_news,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,,,,,,,,,,,200,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
longbench,multi_news,qwen3_8b,siliconflow,Qwen/Qwen3-8B,,,,,,,,,,,400,200,0.058523608038023506,,0.11704721607604701,2.2423704279979573,0.5302840000367723,10.30077563506784,0.5,,,,,,,,
longbench,multi_news,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,,,,,,,,,,,489,200,0.037101237511831246,,0.09071252571642739,24.215390989160287,0.0,67.85148358002772,0.591002044989775,,,,,,,,
longbench,multifieldqa_en,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,,,,,,,,,,,533,120,0.09679815469564536,0.500906955852223,,0.44479576472868343,0.0,2.989972960017621,0.774859287054409,,,,,,,,
