experiment,subtask,model,provider,api_model,length,position,density,interference_type,similarity,distance,hops,hop_distance,chain_type,implementation,n_samples,n_success,accuracy,f1,rouge_l,mean_latency,p50_latency,p95_latency,error_rate,effective_context_length,effective_context_length_abs80,middle_drop,relative_middle_drop,density_accuracy_slope,density_accuracy_pearson,critical_density_threshold,top_error_type
niah,multi,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16384,,,,,,,,,,15,9,0.4666666666666667,,,1.5944548400118947,2.2315460999961942,3.3111243199557077,0.4,,,,,,,,request_error
niah,multi,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32768,,,,,,,,,,12,9,0.0,,,8.469332383344105,9.099295899970457,16.920050515036557,0.25,,,,,,,,request_error
niah,multi,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16384,,,,,,,,,,11,5,0.45454545454545453,,,26.602599490899593,0.0,107.62511420005467,0.5454545454545454,,,,,,,,request_error
niah,multi,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32768,,,,,,,,,,19,10,0.5263157894736842,,,3.89353937368938,2.3186864000745118,9.824904290027918,0.47368421052631576,,,,,,,,request_error
niah,multi,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16384,,,,,,,,,,13,13,1.0,,,10.496439223052361,7.750636900076643,28.224614779883993,0.0,,,,,,,,
niah,multi,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32768,,,,,,,,,,12,12,1.0,,,12.95738299167715,10.21390940004494,26.624709834973306,0.0,,,,,,,,
niah,multi,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16384,,,,,,,,,,10,10,1.0,,,2.637388169998303,2.47670465009287,3.812944615038579,0.0,,,,,,,,
niah,multi,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,32768,,,,,,,,,,16,14,0.875,,,6.868156193755567,3.2596127500291914,21.532222549896687,0.125,,,,,,,,request_error
niah,multi,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,16384,,,,,,,,,,9,9,1.0,,,4.531502344438599,3.854377399897203,7.7727105600759385,0.0,,,,,,,,
niah,multi,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,32768,,,,,,,,,,10,10,1.0,,,5.714869280019775,5.791620550095104,7.190436285070611,0.0,,,,,,,,
niah,multi,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,16384,,,,,,,,,,11,7,0.5454545454545454,,,18.52790168181739,2.6480688999872655,92.67864085000474,0.36363636363636365,,,,,,,,request_error
niah,multi,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,32768,,,,,,,,,,20,11,0.55,,,5.789983940008097,4.364295300096273,25.373336060030866,0.45,,,,,,,,request_error
niah,multi,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,16384,,,,,,,,,,17,6,0.35294117647058826,,,2.8891190646955853,0.0,10.57692022011615,0.6470588235294118,,,,,,,,request_error
niah,multi,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,32768,,,,,,,,,,13,7,0.5384615384615384,,,8.428946615357955,5.22921929997392,31.9886346800253,0.46153846153846156,,,,,,,,request_error
niah,multi,qwen3_8b,siliconflow,Qwen/Qwen3-8B,16384,,,,,,,,,,14,12,0.5714285714285714,,,3.8216627071378753,3.6510349499294534,7.827123169985132,0.14285714285714285,,,,,,,,request_error
niah,multi,qwen3_8b,siliconflow,Qwen/Qwen3-8B,32768,,,,,,,,,,10,9,0.9,,,6.364410659996793,6.19411455001682,10.487144584918862,0.1,,,,,,,,request_error
niah,multi,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,16384,,,,,,,,,,13,4,0.3076923076923077,,,3.026701830775262,0.0,12.143461219966413,0.6923076923076923,,,,,,,,request_error
niah,multi,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,32768,,,,,,,,,,17,11,0.6470588235294118,,,6.00493591763627,7.214623499894515,11.72070362009108,0.35294117647058826,,,,,,,,request_error
niah,sequential,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16384,,,,,,,,,,7,4,0.5714285714285714,,,1.3065407571183252,2.106983399949968,2.4570720199495555,0.42857142857142855,,,,,,,,request_error
niah,sequential,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32768,,,,,,,,,,7,6,0.0,,,10.227895900074925,9.72466880013235,18.809243660094218,0.14285714285714285,,,,,,,,request_error
niah,sequential,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16384,,,,,,,,,,4,3,0.75,,,15.177911925071385,10.523945650085807,35.95517024510773,0.25,,,,,,,,request_error
niah,sequential,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32768,,,,,,,,,,7,4,0.5714285714285714,,,23.983834914297663,7.025072599994019,91.34788637999446,0.42857142857142855,,,,,,,,request_error
niah,sequential,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16384,,,,,,,,,,5,5,1.0,,,8.576990400021895,9.13029280002229,11.770495660137385,0.0,,,,,,,,
niah,sequential,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32768,,,,,,,,,,9,9,1.0,,,15.858204911074912,10.123718000017107,34.188971860008316,0.0,,,,,,,,
