experiment,subtask,model,provider,api_model,length,position,density,interference_type,similarity,distance,hops,hop_distance,chain_type,implementation,n_samples,n_success,accuracy,f1,rouge_l,mean_latency,p50_latency,p95_latency,error_rate,effective_context_length,effective_context_length_abs80,middle_drop,relative_middle_drop,density_accuracy_slope,density_accuracy_pearson,critical_density_threshold,top_error_type
niah,multi,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16384,,,,,,,,,,122,4,0.02459016393442623,,,0.09926668442900247,0.0,0.0,0.9672131147540983,,,,,,,,request_error
niah,multi,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32768,,,,,,,,,,119,4,0.0,,,0.3753221336118251,0.0,0.0,0.9663865546218487,,,,,,,,request_error
niah,multi,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16384,,,,,,,,,,116,6,0.05172413793103448,,,0.22709932413899564,0.0,0.48143557499861345,0.9482758620689655,,,,,,,,request_error
niah,multi,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32768,,,,,,,,,,121,8,0.06611570247933884,,,0.5300423570250523,0.0,3.555507899960503,0.9338842975206612,,,,,,,,request_error
niah,multi,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16384,,,,,,,,,,105,68,0.6476190476190476,,,16.636998780954276,5.727923300000839,59.27016272000037,0.3523809523809524,,,,,,,,
niah,multi,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32768,,,,,,,,,,117,45,0.38461538461538464,,,8.32840124444845,0.0,15.209964439994657,0.6153846153846154,,,,,,,,request_error
niah,multi,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16384,,,,,,,,,,111,62,0.5585585585585585,,,2.8739818693673542,1.5945929000154138,5.1942593500134535,0.44144144144144143,,,,,,,,request_error
niah,multi,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,32768,,,,,,,,,,120,34,0.2833333333333333,,,1.3088002058308728,0.0,5.87305444506346,0.7166666666666667,,,,,,,,request_error
niah,multi,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,16384,,,,,,,,,,100,100,1.0,,,4.42277702699299,3.2431719499872997,6.349620174971641,0.0,,,,,,,,
niah,multi,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,32768,,,,,,,,,,109,61,0.5596330275229358,,,4.954026711005675,4.212178100016899,9.155060020042582,0.44036697247706424,,,,,,,,request_error
niah,multi,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,16384,,,,,,,,,,116,5,0.04310344827586207,,,0.21459495775995713,0.0,0.0,0.9568965517241379,,,,,,,,request_error
niah,multi,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,32768,,,,,,,,,,123,9,0.06504065040650407,,,0.7069326869885975,0.0,7.549203629931437,0.926829268292683,,,,,,,,request_error
niah,multi,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,16384,,,,,,,,,,123,10,0.08130081300813008,,,0.9484015926832288,0.0,7.694397780182772,0.9186991869918699,,,,,,,,request_error
niah,multi,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,32768,,,,,,,,,,127,12,0.08661417322834646,,,0.8223416629966026,0.0,8.546775740035809,0.905511811023622,,,,,,,,request_error
niah,multi,qwen3_8b,siliconflow,Qwen/Qwen3-8B,16384,,,,,,,,,,106,71,0.5754716981132075,,,4.374698801883189,2.798820349969901,15.041731124947546,0.330188679245283,,,,,,,,request_error
niah,multi,qwen3_8b,siliconflow,Qwen/Qwen3-8B,32768,,,,,,,,,,112,47,0.41964285714285715,,,3.937540375889512,0.0,16.81244444000768,0.5803571428571429,,,,,,,,request_error
niah,multi,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,16384,,,,,,,,,,126,6,0.047619047619047616,,,0.6914048206342,0.0,0.0,0.9523809523809523,,,,,,,,request_error
niah,multi,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,32768,,,,,,,,,,129,6,0.046511627906976744,,,0.7081752968970109,0.0,0.0,0.9534883720930233,,,,,,,,request_error
niah,sequential,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16384,,,,,,,,,,61,2,0.0,,,0.17238611639400975,0.0,0.0,0.9672131147540983,,,,,,,,request_error
niah,sequential,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32768,,,,,,,,,,62,2,0.0,,,0.3037084548381127,0.0,0.0,0.967741935483871,,,,,,,,request_error
niah,sequential,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16384,,,,,,,,,,58,1,0.017241379310344827,,,0.034157501722300615,0.0,0.0,0.9827586206896551,,,,,,,,request_error
niah,sequential,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32768,,,,,,,,,,60,6,0.1,,,0.546562618331518,0.0,4.88001320000039,0.9,,,,,,,,request_error
niah,sequential,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16384,,,,,,,,,,50,26,0.52,,,3.468370120008476,4.032651100016665,9.87814761501504,0.48,,,,,,,,
niah,sequential,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32768,,,,,,,,,,56,20,0.35714285714285715,,,9.017117792858958,0.0,14.20698875002563,0.6428571428571429,,,,,,,,request_error
niah,sequential,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16384,,,,,,,,,,51,24,0.47058823529411764,,,1.4860814686330475,0.0,5.1068819999927655,0.5294117647058824,,,,,,,,request_error
niah,sequential,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,32768,,,,,,,,,,58,17,0.29310344827586204,,,2.4737726810332066,0.0,5.110391375032487,0.7068965517241379,,,,,,,,request_error
niah,sequential,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,16384,,,,,,,,,,50,50,1.0,,,4.130604986001272,3.2084893999854103,7.504073589993641,0.0,,,,,,,,
niah,sequential,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,32768,,,,,,,,,,54,27,0.5,,,2.859896425912329,1.9439904500031844,6.817906709946692,0.5,,,,,,,,request_error
niah,sequential,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,16384,,,,,,,,,,63,2,0.031746031746031744,,,0.09885421269647186,0.0,0.0,0.9682539682539683,,,,,,,,request_error
niah,sequential,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,32768,,,,,,,,,,61,4,0.06557377049180328,,,0.6633111459019854,0.0,7.875526099931449,0.9344262295081968,,,,,,,,request_error
niah,sequential,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,16384,,,,,,,,,,62,1,0.016129032258064516,,,0.18045747741651272,0.0,0.0,0.9838709677419355,,,,,,,,request_error
niah,sequential,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,32768,,,,,,,,,,56,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,request_error
niah,sequential,qwen3_8b,siliconflow,Qwen/Qwen3-8B,16384,,,,,,,,,,54,33,0.6111111111111112,,,4.842004066669485,2.305349549977109,21.60022020502366,0.3888888888888889,,,,,,,,request_error
