experiment,subtask,model,provider,api_model,length,position,density,interference_type,similarity,distance,hops,hop_distance,chain_type,implementation,n_samples,n_success,accuracy,f1,rouge_l,mean_latency,p50_latency,p95_latency,error_rate,effective_context_length,effective_context_length_abs80,middle_drop,relative_middle_drop,density_accuracy_slope,density_accuracy_pearson,critical_density_threshold,top_error_type
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16266,,,,,,,,,,1,1,0.0,0.0,,3.4791413999628276,3.4791413999628276,3.4791413999628276,0.0,32715,,,,,,,
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16270,,,,,,,,,,1,1,0.0,0.0,,3.512188500026241,3.512188500026241,3.512188500026241,0.0,32715,,,,,,,
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16298,,,,,,,,,,1,1,0.0,0.0,,3.533600299851969,3.533600299851969,3.533600299851969,0.0,32715,,,,,,,
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16306,,,,,,,,,,1,1,0.0,0.0,,5.760679499944672,5.760679499944672,5.760679499944672,0.0,32715,,,,,,,
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16350,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32715,,,,,,,request_error
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16377,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32715,,,,,,,request_error
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32522,,,,,,,,,,1,1,0.0,0.0,,11.673144300002605,11.673144300002605,11.673144300002605,0.0,32715,,,,,,,
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32700,,,,,,,,,,1,1,0.0,0.0,,17.560613099951297,17.560613099951297,17.560613099951297,0.0,32715,,,,,,,
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32715,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32715,,,,,,,request_error
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,3846,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32715,,,,,,,request_error
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,3851,,,,,,,,,,1,1,0.0,0.0,,1.9639626001007855,1.9639626001007855,1.9639626001007855,0.0,32715,,,,,,,
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,3875,,,,,,,,,,1,1,0.0,0.0,,1.9188677999190986,1.9188677999190986,1.9188677999190986,0.0,32715,,,,,,,
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,3913,,,,,,,,,,1,1,0.0,0.0,,2.452757699880749,2.452757699880749,2.452757699880749,0.0,32715,,,,,,,
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,3925,,,,,,,,,,1,1,0.0,0.0,,4.195037200115621,4.195037200115621,4.195037200115621,0.0,32715,,,,,,,
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,3960,,,,,,,,,,1,1,0.0,0.0,,2.28277670009993,2.28277670009993,2.28277670009993,0.0,32715,,,,,,,
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,4053,,,,,,,,,,1,1,0.0,0.0,,1.8836493999697268,1.8836493999697268,1.8836493999697268,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16215,,,,,,,,,,1,1,0.0,0.0,,7.061243099858984,7.061243099858984,7.061243099858984,0.0,32762,,,,,,,
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16252,,,,,,,,,,2,1,0.0,0.0,,4.266418399987742,4.266418399987742,8.10619495997671,0.5,32762,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16270,,,,,,,,,,2,1,0.0,0.0,,3.5338711000513285,3.5338711000513285,6.7143550900975235,0.5,32762,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16311,,,,,,,,,,1,1,0.0,0.0,,8.573507699882612,8.573507699882612,8.573507699882612,0.0,32762,,,,,,,
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16317,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32762,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16330,,,,,,,,,,1,1,0.0,0.0,,8.296468700049445,8.296468700049445,8.296468700049445,0.0,32762,,,,,,,
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16377,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32762,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32278,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32762,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32412,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32762,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32466,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32762,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32488,,,,,,,,,,1,1,0.0,0.0,,2.84266550000757,2.84266550000757,2.84266550000757,0.0,32762,,,,,,,
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32701,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32762,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32711,,,,,,,,,,1,1,0.0,0.0,,7.991898299893364,7.991898299893364,7.991898299893364,0.0,32762,,,,,,,
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32715,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32762,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32762,,,,,,,,,,1,1,0.0,0.0,,7.966246699914336,7.966246699914336,7.966246699914336,0.0,32762,,,,,,,
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,3846,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32762,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,3851,,,,,,,,,,1,1,0.0,0.0,,6.382483999943361,6.382483999943361,6.382483999943361,0.0,32762,,,,,,,
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,3884,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32762,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,3960,,,,,,,,,,1,1,0.0,0.0,,6.1189806999173015,6.1189806999173015,6.1189806999173015,0.0,32762,,,,,,,
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,3976,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32762,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,3993,,,,,,,,,,1,1,0.0,0.0,,10.264062199974433,10.264062199974433,10.264062199974433,0.0,32762,,,,,,,
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,4078,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32762,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,4087,,,,,,,,,,1,0,0.0,,,0.0,0.0,0.0,1.0,32762,,,,,,,request_error
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16209,,,,,,,,,,1,1,0.0,0.0,,7.9433360998518765,7.9433360998518765,7.9433360998518765,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16255,,,,,,,,,,1,1,0.0,0.0,,8.554640999995172,8.554640999995172,8.554640999995172,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16311,,,,,,,,,,1,1,0.0,0.0,,6.14173090015538,6.14173090015538,6.14173090015538,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16317,,,,,,,,,,1,1,0.0,0.0,,4.979142899857834,4.979142899857834,4.979142899857834,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16350,,,,,,,,,,1,1,0.0,0.0,,17.487648600013927,17.487648600013927,17.487648600013927,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16377,,,,,,,,,,1,1,0.0,0.0,,9.893533500144258,9.893533500144258,9.893533500144258,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32278,,,,,,,,,,1,1,0.0,0.0,,12.548739399993792,12.548739399993792,12.548739399993792,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32412,,,,,,,,,,1,1,0.0,0.0,,12.7806253999006,12.7806253999006,12.7806253999006,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32488,,,,,,,,,,1,1,0.0,0.0,,13.087306599831209,13.087306599831209,13.087306599831209,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32538,,,,,,,,,,1,1,0.0,0.0,,12.829797299811617,12.829797299811617,12.829797299811617,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32595,,,,,,,,,,1,1,0.0,0.0,,27.00042589986697,27.00042589986697,27.00042589986697,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32613,,,,,,,,,,1,1,0.0,0.0,,13.241097199963406,13.241097199963406,13.241097199963406,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32715,,,,,,,,,,1,1,0.0,0.0,,20.90707610012032,20.90707610012032,20.90707610012032,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,3875,,,,,,,,,,1,1,0.0,0.0,,3.713626699987799,3.713626699987799,3.713626699987799,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,3913,,,,,,,,,,1,1,0.0,0.0,,3.186970999930054,3.186970999930054,3.186970999930054,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,3925,,,,,,,,,,2,2,0.0,0.0,,5.510806749924086,5.510806749924086,6.289347024855669,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,3934,,,,,,,,,,1,1,0.0,0.0,,8.811334499856457,8.811334499856457,8.811334499856457,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,3976,,,,,,,,,,1,1,0.0,0.0,,4.107178300153464,4.107178300153464,4.107178300153464,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,3993,,,,,,,,,,1,1,0.0,0.0,,2.316633300157264,2.316633300157264,2.316633300157264,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,4058,,,,,,,,,,1,1,0.0,0.0,,22.5298449001275,22.5298449001275,22.5298449001275,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,4078,,,,,,,,,,1,1,0.0,0.0,,6.045467399992049,6.045467399992049,6.045467399992049,0.0,32715,,,,,,,
ruler,common_words_extraction,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16084,,,,,,,,,,1,1,0.0,0.0,,3.3249534000642598,3.3249534000642598,3.3249534000642598,0.0,32762,,,,,,,
ruler,common_words_extraction,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16215,,,,,,,,,,1,1,0.0,0.0,,5.9369473999831825,5.9369473999831825,5.9369473999831825,0.0,32762,,,,,,,
ruler,common_words_extraction,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16252,,,,,,,,,,1,1,0.0,0.0,,2.2201898999046534,2.2201898999046534,2.2201898999046534,0.0,32762,,,,,,,
ruler,common_words_extraction,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16301,,,,,,,,,,1,1,0.0,0.0,,2.5775017000269145,2.5775017000269145,2.5775017000269145,0.0,32762,,,,,,,
ruler,common_words_extraction,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16311,,,,,,,,,,1,1,0.0,0.0,,73.33285959996283,73.33285959996283,73.33285959996283,0.0,32762,,,,,,,
ruler,common_words_extraction,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16370,,,,,,,,,,1,1,0.0,0.0,,3.7402588999830186,3.7402588999830186,3.7402588999830186,0.0,32762,,,,,,,
ruler,common_words_extraction,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,32278,,,,,,,,,,1,1,0.0,0.0,,2.777982300147414,2.777982300147414,2.777982300147414,0.0,32762,,,,,,,
