experiment,subtask,model,provider,api_model,length,position,density,interference_type,similarity,distance,hops,hop_distance,chain_type,implementation,n_samples,n_success,accuracy,f1,rouge_l,mean_latency,p50_latency,p95_latency,error_rate,effective_context_length,effective_context_length_abs80,middle_drop,relative_middle_drop,density_accuracy_slope,density_accuracy_pearson,critical_density_threshold,top_error_type
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16384,,,,,,,,,ruler_fallback,60,1,0.0,0.0,,0.03955961166648194,0.0,0.0,0.9833333333333333,32768,,,,,,,request_error
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32768,,,,,,,,,ruler_fallback,60,3,0.0,0.0,,0.6361267133266665,0.0,0.4575385799980462,0.95,32768,,,,,,,request_error
ruler,common_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,4096,,,,,,,,,ruler_fallback,64,1,0.0,0.0,,0.02827922656069859,0.0,0.0,0.984375,32768,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16384,,,,,,,,,ruler_fallback,61,2,0.0,0.0,,0.11489580491878336,0.0,0.0,0.9672131147540983,32768,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32768,,,,,,,,,ruler_fallback,57,2,0.0,0.0,,0.11620878947800711,0.0,0.0,0.9649122807017544,32768,,,,,,,request_error
ruler,common_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,4096,,,,,,,,,ruler_fallback,64,5,0.0,0.0,,0.23994718281028327,0.0,1.6433225348941063,0.921875,32768,,,,,,,request_error
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16384,,,,,,,,,ruler_fallback,101,49,0.0,0.0,,4.347938098013401,0.0,9.09304489986971,0.5148514851485149,4096,,,,,,,request_error
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32768,,,,,,,,,ruler_fallback,76,22,0.0,0.0,,6.715566894750258,0.0,27.717321975156665,0.7105263157894737,4096,,,,,,,request_error
ruler,common_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,4096,,,,,,,,,ruler_fallback,100,49,0.05,0.10204081632653061,,3.354349749998655,0.0,6.626365519873797,0.51,4096,,,,,,,
ruler,common_words_extraction,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16384,,,,,,,,,ruler_fallback,62,9,0.0,0.0,,0.9503241177430497,0.0,4.044739989889787,0.8548387096774194,32768,,,,,,,request_error
ruler,common_words_extraction,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,32768,,,,,,,,,ruler_fallback,64,4,0.0,0.0,,0.1917109796886507,0.0,2.452342225017496,0.9375,32768,,,,,,,request_error
