model,category,n_total,n_success,n_error,coverage,error_rate,score_mean,score_all,f1_mean,rouge_l_mean,latency_mean
hunyuan_a13b,multi_doc_qa,99,99,0,1.0,0.0,0.4682,0.4682,0.6718,,1.9463
qwen35_122b_a10b,multi_doc_qa,116,116,0,1.0,0.0,0.6947,0.6947,0.8665,,1.6529
qwen35_27b,multi_doc_qa,119,119,0,1.0,0.0,0.6095,0.6095,0.8242,,3.5661
qwen35_35b_a3b,multi_doc_qa,100,100,0,1.0,0.0,0.6266,0.6266,0.8033,,8.3083
qwen35_9b,multi_doc_qa,100,100,0,1.0,0.0,0.5962,0.5962,0.7845,,2.2047
qwen3_14b_no_thinking,multi_doc_qa,98,98,0,1.0,0.0,0.4963,0.4963,0.7369,,2.176
qwen3_14b_thinking,multi_doc_qa,146,146,0,1.0,0.0,0.6344,0.6344,0.8125,,30.5071
qwen3_8b,multi_doc_qa,119,119,0,1.0,0.0,0.2599,0.2599,0.4692,,3.8568
seed_oss_36b,multi_doc_qa,104,104,0,1.0,0.0,0.6706,0.6706,0.8506,,21.6821
hunyuan_a13b,single_doc_qa,88,88,0,1.0,0.0,0.234,0.234,0.3613,,3.6297
qwen35_122b_a10b,single_doc_qa,75,75,0,1.0,0.0,0.3628,0.3628,0.4691,,2.0439
qwen35_27b,single_doc_qa,81,81,0,1.0,0.0,0.3427,0.3427,0.427,,6.4005
qwen35_35b_a3b,single_doc_qa,100,100,0,1.0,0.0,0.3435,0.3435,0.4348,,90.806
qwen35_9b,single_doc_qa,100,100,0,1.0,0.0,0.2858,0.2858,0.3915,,5.1931
qwen3_14b_no_thinking,single_doc_qa,79,79,0,1.0,0.0,0.3423,0.3423,0.4433,,3.2759
qwen3_14b_thinking,single_doc_qa,54,54,0,1.0,0.0,0.2758,0.2758,0.3919,,17.0951
qwen3_8b,single_doc_qa,81,81,0,1.0,0.0,0.3052,0.3052,0.3583,,5.4743
seed_oss_36b,single_doc_qa,77,77,0,1.0,0.0,0.358,0.358,0.4518,,18.0788
hunyuan_a13b,summarization,113,113,0,1.0,0.0,0.0595,0.0595,,0.0595,1.8439
qwen35_122b_a10b,summarization,109,109,0,1.0,0.0,0.052,0.052,,0.052,44.2808
qwen35_27b,summarization,100,100,0,1.0,0.0,0.071,0.071,,0.071,4.9956
qwen35_35b_a3b,summarization,100,100,0,1.0,0.0,0.062,0.062,,0.062,6.7537
qwen35_9b,summarization,100,100,0,1.0,0.0,0.058,0.058,,0.058,2.9321
qwen3_14b_no_thinking,summarization,123,123,0,1.0,0.0,0.1461,0.1461,,0.1461,4.6778
qwen3_14b_thinking,summarization,100,100,0,1.0,0.0,0.0655,0.0655,,0.0655,12.4657
qwen3_8b,summarization,100,100,0,1.0,0.0,0.116,0.116,,0.116,6.2237
seed_oss_36b,summarization,119,119,0,1.0,0.0,0.0909,0.0909,,0.0909,42.5096
