model,category,task,n_total,n_success,n_error,coverage,error_rate,score_mean,score_all,f1_mean,rouge_l_mean,latency_mean
hunyuan_a13b,multi_doc_qa,2wikimqa,50,50,0,1.0,0.0,0.4599,0.4599,0.6763,,1.4887
qwen35_122b_a10b,multi_doc_qa,2wikimqa,72,72,0,1.0,0.0,0.6804,0.6804,0.8749,,1.5038
qwen35_27b,multi_doc_qa,2wikimqa,69,69,0,1.0,0.0,0.6336,0.6336,0.8573,,3.0986
qwen35_35b_a3b,multi_doc_qa,2wikimqa,50,50,0,1.0,0.0,0.6139,0.6139,0.8296,,1.2767
qwen35_9b,multi_doc_qa,2wikimqa,50,50,0,1.0,0.0,0.6296,0.6296,0.8284,,2.0093
qwen3_14b_no_thinking,multi_doc_qa,2wikimqa,50,50,0,1.0,0.0,0.3876,0.3876,0.6684,,1.8434
qwen3_14b_thinking,multi_doc_qa,2wikimqa,96,96,0,1.0,0.0,0.6634,0.6634,0.8379,,15.2894
qwen3_8b,multi_doc_qa,2wikimqa,69,69,0,1.0,0.0,0.2523,0.2523,0.4836,,3.1398
seed_oss_36b,multi_doc_qa,2wikimqa,50,50,0,1.0,0.0,0.7356,0.7356,0.9195,,15.8682
hunyuan_a13b,summarization,gov_report,46,46,0,1.0,0.0,0.0542,0.0542,,0.0542,2.5796
qwen35_122b_a10b,summarization,gov_report,59,59,0,1.0,0.0,0.0618,0.0618,,0.0618,5.4479
qwen35_27b,summarization,gov_report,50,50,0,1.0,0.0,0.0811,0.0811,,0.0811,7.126
qwen35_35b_a3b,summarization,gov_report,50,50,0,1.0,0.0,0.0927,0.0927,,0.0927,12.5114
qwen35_9b,summarization,gov_report,50,50,0,1.0,0.0,0.0578,0.0578,,0.0578,3.3689
qwen3_14b_no_thinking,summarization,gov_report,50,50,0,1.0,0.0,0.143,0.143,,0.143,6.802
qwen3_14b_thinking,summarization,gov_report,50,50,0,1.0,0.0,0.0759,0.0759,,0.0759,19.4066
qwen3_8b,summarization,gov_report,50,50,0,1.0,0.0,0.1363,0.1363,,0.1363,8.8323
seed_oss_36b,summarization,gov_report,50,50,0,1.0,0.0,0.0799,0.0799,,0.0799,43.2254
hunyuan_a13b,multi_doc_qa,hotpotqa,49,49,0,1.0,0.0,0.4767,0.4767,0.6674,,2.4131
qwen35_122b_a10b,multi_doc_qa,hotpotqa,44,44,0,1.0,0.0,0.718,0.718,0.8539,,1.8969
qwen35_27b,multi_doc_qa,hotpotqa,50,50,0,1.0,0.0,0.5762,0.5762,0.7787,,4.2113
qwen35_35b_a3b,multi_doc_qa,hotpotqa,50,50,0,1.0,0.0,0.6393,0.6393,0.7797,,15.34
qwen35_9b,multi_doc_qa,hotpotqa,50,50,0,1.0,0.0,0.5628,0.5628,0.7405,,2.4001
qwen3_14b_no_thinking,multi_doc_qa,hotpotqa,48,48,0,1.0,0.0,0.6095,0.6095,0.7907,,2.5225
qwen3_14b_thinking,multi_doc_qa,hotpotqa,50,50,0,1.0,0.0,0.5789,0.5789,0.7617,,59.7249
qwen3_8b,multi_doc_qa,hotpotqa,50,50,0,1.0,0.0,0.2704,0.2704,0.4514,,4.8462
seed_oss_36b,multi_doc_qa,hotpotqa,54,54,0,1.0,0.0,0.6105,0.6105,0.7849,,27.0653
hunyuan_a13b,summarization,multi_news,67,67,0,1.0,0.0,0.0632,0.0632,,0.0632,1.3387
qwen35_122b_a10b,summarization,multi_news,50,50,0,1.0,0.0,0.0405,0.0405,,0.0405,90.1036
qwen35_27b,summarization,multi_news,50,50,0,1.0,0.0,0.0609,0.0609,,0.0609,2.8652
qwen35_35b_a3b,summarization,multi_news,50,50,0,1.0,0.0,0.0314,0.0314,,0.0314,0.996
qwen35_9b,summarization,multi_news,50,50,0,1.0,0.0,0.0582,0.0582,,0.0582,2.4953
qwen3_14b_no_thinking,summarization,multi_news,50,50,0,1.0,0.0,0.1187,0.1187,,0.1187,2.6887
qwen3_14b_thinking,summarization,multi_news,50,50,0,1.0,0.0,0.0551,0.0551,,0.0551,5.5248
qwen3_8b,summarization,multi_news,50,50,0,1.0,0.0,0.0957,0.0957,,0.0957,3.6151
seed_oss_36b,summarization,multi_news,50,50,0,1.0,0.0,0.0707,0.0707,,0.0707,53.0438
hunyuan_a13b,single_doc_qa,narrativeqa,39,39,0,1.0,0.0,0.1239,0.1239,0.2416,,6.0032
qwen35_122b_a10b,single_doc_qa,narrativeqa,26,26,0,1.0,0.0,0.1564,0.1564,0.2712,,2.6179
