model,length,position,n_total,n_success,n_error,coverage,error_rate,score_mean,score_all,f1_mean,rouge_l_mean,latency_mean
hunyuan_a13b,4000.0,10.0,28,28,0,1.0,0.0,1.0,1.0,,,1.9967
hunyuan_a13b,4000.0,25.0,37,37,0,1.0,0.0,1.0,1.0,,,1.4481
hunyuan_a13b,4000.0,50.0,39,39,0,1.0,0.0,1.0,1.0,,,1.6732
hunyuan_a13b,4000.0,75.0,36,36,0,1.0,0.0,1.0,1.0,,,1.5478
hunyuan_a13b,4000.0,90.0,32,32,0,1.0,0.0,1.0,1.0,,,1.65
hunyuan_a13b,8000.0,10.0,22,22,0,1.0,0.0,1.0,1.0,,,1.8959
hunyuan_a13b,8000.0,25.0,21,21,0,1.0,0.0,1.0,1.0,,,2.0922
hunyuan_a13b,8000.0,50.0,22,22,0,1.0,0.0,1.0,1.0,,,1.9524
hunyuan_a13b,8000.0,75.0,21,21,0,1.0,0.0,1.0,1.0,,,2.0963
hunyuan_a13b,8000.0,90.0,23,23,0,1.0,0.0,1.0,1.0,,,2.2832
hunyuan_a13b,16000.0,10.0,16,16,0,1.0,0.0,1.0,1.0,,,2.1044
hunyuan_a13b,16000.0,25.0,16,16,0,1.0,0.0,1.0,1.0,,,2.7027
hunyuan_a13b,16000.0,50.0,16,16,0,1.0,0.0,1.0,1.0,,,2.9183
hunyuan_a13b,16000.0,75.0,15,15,0,1.0,0.0,1.0,1.0,,,2.2819
hunyuan_a13b,16000.0,90.0,15,15,0,1.0,0.0,1.0,1.0,,,2.8777
hunyuan_a13b,32000.0,10.0,14,14,0,1.0,0.0,1.0,1.0,,,4.7492
hunyuan_a13b,32000.0,25.0,11,11,0,1.0,0.0,1.0,1.0,,,5.1194
hunyuan_a13b,32000.0,50.0,10,10,0,1.0,0.0,1.0,1.0,,,4.8692
hunyuan_a13b,32000.0,75.0,12,12,0,1.0,0.0,1.0,1.0,,,4.6987
hunyuan_a13b,32000.0,90.0,8,8,0,1.0,0.0,1.0,1.0,,,4.2814
qwen35_122b_a10b,4000.0,10.0,21,21,0,1.0,0.0,1.0,1.0,,,0.9727
qwen35_122b_a10b,4000.0,25.0,28,28,0,1.0,0.0,1.0,1.0,,,1.2807
qwen35_122b_a10b,4000.0,50.0,27,27,0,1.0,0.0,1.0,1.0,,,1.1848
qwen35_122b_a10b,4000.0,75.0,28,28,0,1.0,0.0,1.0,1.0,,,1.3129
qwen35_122b_a10b,4000.0,90.0,25,25,0,1.0,0.0,1.0,1.0,,,1.3462
qwen35_122b_a10b,8000.0,10.0,22,22,0,1.0,0.0,1.0,1.0,,,2.4187
qwen35_122b_a10b,8000.0,25.0,19,19,0,1.0,0.0,1.0,1.0,,,1.5413
qwen35_122b_a10b,8000.0,50.0,20,20,0,1.0,0.0,1.0,1.0,,,1.6054
qwen35_122b_a10b,8000.0,75.0,19,19,0,1.0,0.0,1.0,1.0,,,1.663
qwen35_122b_a10b,8000.0,90.0,19,19,0,1.0,0.0,1.0,1.0,,,1.7394
qwen35_122b_a10b,16000.0,10.0,15,15,0,1.0,0.0,1.0,1.0,,,2.4335
qwen35_122b_a10b,16000.0,25.0,12,12,0,1.0,0.0,1.0,1.0,,,1.9586
qwen35_122b_a10b,16000.0,50.0,15,15,0,1.0,0.0,1.0,1.0,,,2.3614
qwen35_122b_a10b,16000.0,75.0,15,15,0,1.0,0.0,1.0,1.0,,,1.8335
qwen35_122b_a10b,16000.0,90.0,14,14,0,1.0,0.0,1.0,1.0,,,2.5379
qwen35_122b_a10b,32000.0,10.0,12,12,0,1.0,0.0,1.0,1.0,,,3.6168
qwen35_122b_a10b,32000.0,25.0,11,11,0,1.0,0.0,1.0,1.0,,,3.1426
qwen35_122b_a10b,32000.0,50.0,12,12,0,1.0,0.0,1.0,1.0,,,3.3254
qwen35_122b_a10b,32000.0,75.0,10,10,0,1.0,0.0,1.0,1.0,,,6.5692
qwen35_122b_a10b,32000.0,90.0,11,11,0,1.0,0.0,1.0,1.0,,,3.1311
qwen35_27b,4000.0,10.0,17,17,0,1.0,0.0,1.0,1.0,,,2.6219
qwen35_27b,4000.0,25.0,20,20,0,1.0,0.0,1.0,1.0,,,2.977
qwen35_27b,4000.0,50.0,20,20,0,1.0,0.0,1.0,1.0,,,4.1983
qwen35_27b,4000.0,75.0,10,10,0,1.0,0.0,1.0,1.0,,,7.4115
qwen35_27b,4000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,2.631
qwen35_27b,8000.0,10.0,10,10,0,1.0,0.0,1.0,1.0,,,2.8755
qwen35_27b,8000.0,25.0,10,10,0,1.0,0.0,1.0,1.0,,,3.5255
qwen35_27b,8000.0,50.0,10,10,0,1.0,0.0,1.0,1.0,,,3.9799
qwen35_27b,8000.0,75.0,10,10,0,1.0,0.0,1.0,1.0,,,2.6828
qwen35_27b,8000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,185.2118
qwen35_27b,16000.0,10.0,10,10,0,1.0,0.0,1.0,1.0,,,4.9928
qwen35_27b,16000.0,25.0,10,10,0,1.0,0.0,1.0,1.0,,,7.6664
qwen35_27b,16000.0,50.0,10,10,0,1.0,0.0,1.0,1.0,,,4.8048
qwen35_27b,16000.0,75.0,10,10,0,1.0,0.0,1.0,1.0,,,6.8155
qwen35_27b,16000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,6.2082
qwen35_27b,32000.0,10.0,10,10,0,1.0,0.0,1.0,1.0,,,56.517
qwen35_27b,32000.0,25.0,10,10,0,1.0,0.0,1.0,1.0,,,8.5363
qwen35_27b,32000.0,50.0,10,10,0,1.0,0.0,1.0,1.0,,,9.3896
qwen35_27b,32000.0,75.0,10,10,0,1.0,0.0,1.0,1.0,,,12.0421
qwen35_27b,32000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,23.6211
qwen35_35b_a3b,4000.0,10.0,11,11,0,1.0,0.0,1.0,1.0,,,0.6794
qwen35_35b_a3b,4000.0,25.0,12,12,0,1.0,0.0,1.0,1.0,,,0.5455
