model,length,interference_type,density,n_total,n_success,n_error,coverage,error_rate,score_mean,score_all,f1_mean,rouge_l_mean,latency_mean
hunyuan_a13b,8000.0,in_domain,0.0,2,2,0,1.0,0.0,1.0,1.0,,,2.151
hunyuan_a13b,8000.0,in_domain,25.0,2,2,0,1.0,0.0,1.0,1.0,,,2.5626
hunyuan_a13b,8000.0,in_domain,50.0,2,2,0,1.0,0.0,1.0,1.0,,,2.4019
hunyuan_a13b,8000.0,in_domain,90.0,2,2,0,1.0,0.0,1.0,1.0,,,3.3897
hunyuan_a13b,8000.0,out_domain,0.0,1,1,0,1.0,0.0,1.0,1.0,,,2.5242
hunyuan_a13b,8000.0,out_domain,25.0,2,2,0,1.0,0.0,1.0,1.0,,,2.3275
hunyuan_a13b,8000.0,out_domain,50.0,1,1,0,1.0,0.0,1.0,1.0,,,1.2762
hunyuan_a13b,8000.0,out_domain,75.0,2,2,0,1.0,0.0,1.0,1.0,,,1.6004
hunyuan_a13b,8000.0,out_domain,90.0,1,1,0,1.0,0.0,1.0,1.0,,,2.7115
hunyuan_a13b,8000.0,random_noise,0.0,2,2,0,1.0,0.0,1.0,1.0,,,2.1904
hunyuan_a13b,8000.0,random_noise,25.0,2,2,0,1.0,0.0,1.0,1.0,,,2.1807
hunyuan_a13b,8000.0,random_noise,50.0,2,2,0,1.0,0.0,1.0,1.0,,,2.4066
hunyuan_a13b,8000.0,random_noise,75.0,2,2,0,1.0,0.0,1.0,1.0,,,2.8695
hunyuan_a13b,8000.0,random_noise,90.0,3,3,0,1.0,0.0,1.0,1.0,,,2.3831
hunyuan_a13b,16000.0,in_domain,0.0,3,3,0,1.0,0.0,1.0,1.0,,,4.7809
hunyuan_a13b,16000.0,in_domain,25.0,1,1,0,1.0,0.0,1.0,1.0,,,3.136
hunyuan_a13b,16000.0,in_domain,50.0,1,1,0,1.0,0.0,1.0,1.0,,,2.8402
hunyuan_a13b,16000.0,in_domain,75.0,4,4,0,1.0,0.0,1.0,1.0,,,3.3993
hunyuan_a13b,16000.0,in_domain,90.0,3,3,0,1.0,0.0,1.0,1.0,,,2.7411
hunyuan_a13b,16000.0,out_domain,0.0,2,2,0,1.0,0.0,1.0,1.0,,,3.7769
hunyuan_a13b,16000.0,out_domain,25.0,1,1,0,1.0,0.0,1.0,1.0,,,3.4932
hunyuan_a13b,16000.0,out_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,2.608
hunyuan_a13b,16000.0,out_domain,75.0,2,2,0,1.0,0.0,1.0,1.0,,,4.6948
hunyuan_a13b,16000.0,out_domain,90.0,4,4,0,1.0,0.0,1.0,1.0,,,3.2483
hunyuan_a13b,16000.0,random_noise,0.0,1,1,0,1.0,0.0,1.0,1.0,,,3.7442
hunyuan_a13b,16000.0,random_noise,25.0,2,2,0,1.0,0.0,1.0,1.0,,,2.8421
hunyuan_a13b,16000.0,random_noise,50.0,3,3,0,1.0,0.0,1.0,1.0,,,2.9411
hunyuan_a13b,16000.0,random_noise,75.0,1,1,0,1.0,0.0,1.0,1.0,,,3.4543
hunyuan_a13b,16000.0,random_noise,90.0,3,3,0,1.0,0.0,1.0,1.0,,,5.7747
hunyuan_a13b,32000.0,in_domain,0.0,2,2,0,1.0,0.0,1.0,1.0,,,5.4803
hunyuan_a13b,32000.0,in_domain,25.0,1,1,0,1.0,0.0,1.0,1.0,,,7.1259
hunyuan_a13b,32000.0,in_domain,50.0,3,3,0,1.0,0.0,1.0,1.0,,,6.0243
hunyuan_a13b,32000.0,in_domain,75.0,2,2,0,1.0,0.0,1.0,1.0,,,10.1688
hunyuan_a13b,32000.0,in_domain,90.0,4,4,0,1.0,0.0,1.0,1.0,,,5.2423
hunyuan_a13b,32000.0,out_domain,0.0,3,3,0,1.0,0.0,1.0,1.0,,,9.4662
hunyuan_a13b,32000.0,out_domain,25.0,2,2,0,1.0,0.0,1.0,1.0,,,7.2528
hunyuan_a13b,32000.0,out_domain,50.0,3,3,0,1.0,0.0,1.0,1.0,,,6.1256
hunyuan_a13b,32000.0,out_domain,75.0,3,3,0,1.0,0.0,1.0,1.0,,,6.2251
hunyuan_a13b,32000.0,out_domain,90.0,2,2,0,1.0,0.0,1.0,1.0,,,6.4257
hunyuan_a13b,32000.0,random_noise,0.0,3,3,0,1.0,0.0,1.0,1.0,,,6.2756
hunyuan_a13b,32000.0,random_noise,25.0,1,1,0,1.0,0.0,1.0,1.0,,,7.9513
hunyuan_a13b,32000.0,random_noise,50.0,2,2,0,1.0,0.0,1.0,1.0,,,5.2176
hunyuan_a13b,32000.0,random_noise,75.0,2,2,0,1.0,0.0,1.0,1.0,,,5.3517
hunyuan_a13b,32000.0,random_noise,90.0,1,1,0,1.0,0.0,1.0,1.0,,,4.2904
qwen35_122b_a10b,8000.0,in_domain,0.0,4,4,0,1.0,0.0,1.0,1.0,,,1.4835
qwen35_122b_a10b,8000.0,in_domain,25.0,4,4,0,1.0,0.0,1.0,1.0,,,3.4562
qwen35_122b_a10b,8000.0,in_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,3.5081
qwen35_122b_a10b,8000.0,in_domain,75.0,4,4,0,1.0,0.0,1.0,1.0,,,3.8154
qwen35_122b_a10b,8000.0,in_domain,90.0,4,4,0,1.0,0.0,1.0,1.0,,,3.4289
qwen35_122b_a10b,8000.0,out_domain,0.0,4,4,0,1.0,0.0,1.0,1.0,,,2.8268
qwen35_122b_a10b,8000.0,out_domain,25.0,4,4,0,1.0,0.0,1.0,1.0,,,2.0894
qwen35_122b_a10b,8000.0,out_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,3.3413
qwen35_122b_a10b,8000.0,out_domain,75.0,3,3,0,1.0,0.0,1.0,1.0,,,2.7604
qwen35_122b_a10b,8000.0,out_domain,90.0,4,4,0,1.0,0.0,1.0,1.0,,,3.0004
qwen35_122b_a10b,8000.0,random_noise,0.0,4,4,0,1.0,0.0,1.0,1.0,,,7.4452
qwen35_122b_a10b,8000.0,random_noise,25.0,4,4,0,1.0,0.0,1.0,1.0,,,2.9189
qwen35_122b_a10b,8000.0,random_noise,50.0,4,4,0,1.0,0.0,1.0,1.0,,,39.015
qwen35_122b_a10b,8000.0,random_noise,75.0,4,4,0,1.0,0.0,1.0,1.0,,,3.2708
