model,length,similarity,distance,n_total,n_success,n_error,coverage,error_rate,score_mean,score_all,f1_mean,rouge_l_mean,latency_mean
hunyuan_a13b,8000.0,completely_different,far,1,1,0,1.0,0.0,1.0,1.0,,,1.9199
hunyuan_a13b,8000.0,completely_different,medium,1,1,0,1.0,0.0,1.0,1.0,,,2.4176
hunyuan_a13b,8000.0,completely_different,near,2,2,0,1.0,0.0,1.0,1.0,,,2.9048
hunyuan_a13b,8000.0,diff_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,1.8999
hunyuan_a13b,8000.0,diff_name_same_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,1.8599
hunyuan_a13b,8000.0,diff_name_same_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,3.0694
hunyuan_a13b,8000.0,same_name_diff_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,6.7736
hunyuan_a13b,8000.0,same_name_diff_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,1.6541
hunyuan_a13b,8000.0,same_name_same_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,2.5786
hunyuan_a13b,8000.0,same_name_same_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,7.2882
hunyuan_a13b,16000.0,completely_different,medium,2,2,0,1.0,0.0,1.0,1.0,,,3.647
hunyuan_a13b,16000.0,completely_different,near,2,2,0,1.0,0.0,1.0,1.0,,,2.8346
hunyuan_a13b,16000.0,diff_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,3.4609
hunyuan_a13b,16000.0,same_name_diff_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,3.3153
hunyuan_a13b,16000.0,same_name_diff_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,3.0322
hunyuan_a13b,16000.0,same_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,6.3971
hunyuan_a13b,16000.0,same_name_same_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,3.8853
hunyuan_a13b,32000.0,completely_different,near,2,2,0,1.0,0.0,1.0,1.0,,,5.2467
hunyuan_a13b,32000.0,diff_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,4.9349
hunyuan_a13b,32000.0,diff_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,8.5272
hunyuan_a13b,32000.0,same_name_diff_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,3.8275
hunyuan_a13b,32000.0,same_name_diff_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,4.0756
hunyuan_a13b,32000.0,same_name_same_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,4.9106
hunyuan_a13b,32000.0,same_name_same_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,4.5472
hunyuan_a13b,32000.0,same_name_same_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,6.1824
qwen35_122b_a10b,8000.0,completely_different,far,3,3,0,1.0,0.0,1.0,1.0,,,53.3672
qwen35_122b_a10b,8000.0,completely_different,medium,1,1,0,1.0,0.0,1.0,1.0,,,1.4398
qwen35_122b_a10b,8000.0,completely_different,near,2,2,0,1.0,0.0,1.0,1.0,,,78.3073
qwen35_122b_a10b,8000.0,diff_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,8.7957
qwen35_122b_a10b,8000.0,diff_name_same_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,36.8788
qwen35_122b_a10b,8000.0,same_name_diff_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,2.283
qwen35_122b_a10b,8000.0,same_name_diff_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,0.7478
qwen35_122b_a10b,8000.0,same_name_diff_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,2.4234
qwen35_122b_a10b,8000.0,same_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,7.7834
