model,length,hops,hop_distance,n_total,n_success,n_error,coverage,error_rate,score_mean,score_all,f1_mean,rouge_l_mean,latency_mean
hunyuan_a13b,8000.0,2.0,medium,1,1,0,1.0,0.0,1.0,1.0,,,3.0677
hunyuan_a13b,8000.0,2.0,near,3,3,0,1.0,0.0,1.0,1.0,,,2.3499
hunyuan_a13b,8000.0,3.0,near,2,2,0,1.0,0.0,1.0,1.0,,,2.1762
hunyuan_a13b,8000.0,4.0,near,1,1,0,1.0,0.0,1.0,1.0,,,2.185
hunyuan_a13b,16000.0,2.0,far,2,2,0,1.0,0.0,1.0,1.0,,,2.81
hunyuan_a13b,16000.0,2.0,medium,1,1,0,1.0,0.0,1.0,1.0,,,4.8277
hunyuan_a13b,16000.0,2.0,near,4,4,0,1.0,0.0,1.0,1.0,,,3.8241
hunyuan_a13b,16000.0,3.0,medium,3,3,0,1.0,0.0,1.0,1.0,,,4.0756
hunyuan_a13b,16000.0,3.0,near,3,3,0,1.0,0.0,0.6667,0.6667,,,2.6478
hunyuan_a13b,16000.0,4.0,medium,2,2,0,1.0,0.0,1.0,1.0,,,6.4848
hunyuan_a13b,32000.0,2.0,far,3,3,0,1.0,0.0,1.0,1.0,,,6.5175
hunyuan_a13b,32000.0,2.0,medium,1,1,0,1.0,0.0,1.0,1.0,,,4.1833
hunyuan_a13b,32000.0,2.0,near,1,1,0,1.0,0.0,1.0,1.0,,,5.7557
hunyuan_a13b,32000.0,3.0,far,2,2,0,1.0,0.0,1.0,1.0,,,6.6728
hunyuan_a13b,32000.0,3.0,medium,3,3,0,1.0,0.0,0.6667,0.6667,,,4.9749
hunyuan_a13b,32000.0,3.0,near,1,1,0,1.0,0.0,1.0,1.0,,,6.7859
hunyuan_a13b,32000.0,4.0,far,2,2,0,1.0,0.0,1.0,1.0,,,5.4246
hunyuan_a13b,32000.0,4.0,medium,1,1,0,1.0,0.0,1.0,1.0,,,4.9298
hunyuan_a13b,32000.0,4.0,near,1,1,0,1.0,0.0,1.0,1.0,,,7.1604
hunyuan_a13b,64000.0,2.0,far,2,2,0,1.0,0.0,0.0,0.0,,,22.6367
hunyuan_a13b,64000.0,2.0,medium,2,2,0,1.0,0.0,0.0,0.0,,,19.9409
hunyuan_a13b,64000.0,2.0,near,1,1,0,1.0,0.0,0.0,0.0,,,41.358
hunyuan_a13b,64000.0,3.0,far,2,2,0,1.0,0.0,0.0,0.0,,,15.7685
hunyuan_a13b,64000.0,3.0,near,1,1,0,1.0,0.0,0.0,0.0,,,17.1243
hunyuan_a13b,64000.0,4.0,far,1,1,0,1.0,0.0,0.0,0.0,,,15.6195
hunyuan_a13b,64000.0,4.0,medium,2,2,0,1.0,0.0,0.0,0.0,,,29.1895
hunyuan_a13b,64000.0,4.0,near,3,3,0,1.0,0.0,0.0,0.0,,,17.7242
qwen35_122b_a10b,8000.0,2.0,medium,2,2,0,1.0,0.0,0.5,0.5,,,5.4915
qwen35_122b_a10b,8000.0,2.0,near,2,2,0,1.0,0.0,1.0,1.0,,,2.2274
qwen35_122b_a10b,8000.0,3.0,near,3,3,0,1.0,0.0,1.0,1.0,,,6.5162
qwen35_122b_a10b,8000.0,4.0,near,2,2,0,1.0,0.0,1.0,1.0,,,4.0463
qwen35_122b_a10b,16000.0,2.0,far,2,2,0,1.0,0.0,0.5,0.5,,,3.4997
qwen35_122b_a10b,16000.0,2.0,medium,3,3,0,1.0,0.0,0.6667,0.6667,,,3.4463
qwen35_122b_a10b,16000.0,2.0,near,4,4,0,1.0,0.0,1.0,1.0,,,3.1577
qwen35_122b_a10b,16000.0,3.0,medium,2,2,0,1.0,0.0,1.0,1.0,,,3.5629
qwen35_122b_a10b,16000.0,3.0,near,3,3,0,1.0,0.0,1.0,1.0,,,3.8515
qwen35_122b_a10b,16000.0,4.0,medium,1,1,0,1.0,0.0,1.0,1.0,,,105.4584
qwen35_122b_a10b,16000.0,4.0,near,3,3,0,1.0,0.0,1.0,1.0,,,3.2637
qwen35_122b_a10b,32000.0,2.0,far,3,3,0,1.0,0.0,0.6667,0.6667,,,5.8125
qwen35_122b_a10b,32000.0,2.0,medium,1,1,0,1.0,0.0,1.0,1.0,,,3.072
qwen35_122b_a10b,32000.0,2.0,near,2,2,0,1.0,0.0,1.0,1.0,,,5.4757
