model,subset,subtask,n_total,n_success,n_error,coverage,error_rate,score_mean,score_all,f1_mean,rouge_l_mean,latency_mean
hunyuan_a13b,A,A_position,414,414,0,1.0,0.0,1.0,1.0,,,2.3467
qwen35_122b_a10b,A,A_position,355,355,0,1.0,0.0,1.0,1.0,,,2.0124
qwen35_27b,A,A_position,227,227,0,1.0,0.0,1.0,1.0,,,16.1991
qwen35_35b_a3b,A,A_position,219,219,0,1.0,0.0,1.0,1.0,,,51.6985
qwen35_9b,A,A_position,200,200,0,1.0,0.0,1.0,1.0,,,2.7643
qwen3_14b_no_thinking,A,A_position,380,380,0,1.0,0.0,1.0,1.0,,,2.2513
qwen3_14b_thinking,A,A_position,378,378,0,1.0,0.0,1.0,1.0,,,3.1031
qwen3_8b,A,A_position,234,234,0,1.0,0.0,1.0,1.0,,,3.547
seed_oss_36b,A,A_position,416,416,0,1.0,0.0,0.9784,0.9784,,,3.3375
hunyuan_a13b,B,B_interference,95,95,0,1.0,0.0,1.0,1.0,,,4.3088
qwen35_122b_a10b,B,B_interference,140,140,0,1.0,0.0,1.0,1.0,,,7.9555
qwen35_27b,B,B_interference,200,200,0,1.0,0.0,1.0,1.0,,,9.6379
qwen35_35b_a3b,B,B_interference,189,189,0,1.0,0.0,1.0,1.0,,,4.9832
qwen35_9b,B,B_interference,200,200,0,1.0,0.0,1.0,1.0,,,3.6569
qwen3_14b_no_thinking,B,B_interference,123,123,0,1.0,0.0,1.0,1.0,,,7.2212
qwen3_14b_thinking,B,B_interference,128,128,0,1.0,0.0,1.0,1.0,,,6.3609
qwen3_8b,B,B_interference,199,199,0,1.0,0.0,1.0,1.0,,,4.3385
seed_oss_36b,B,B_interference,98,98,0,1.0,0.0,1.0,1.0,,,8.3371
hunyuan_a13b,C,C_overlap,40,40,0,1.0,0.0,1.0,1.0,,,4.1976
qwen35_122b_a10b,C,C_overlap,60,60,0,1.0,0.0,1.0,1.0,,,16.8317
qwen35_27b,C,C_overlap,100,100,0,1.0,0.0,1.0,1.0,,,12.0674
qwen35_35b_a3b,C,C_overlap,97,97,0,1.0,0.0,1.0,1.0,,,3.7333
qwen35_9b,C,C_overlap,100,100,0,1.0,0.0,1.0,1.0,,,4.8382
qwen3_14b_no_thinking,C,C_overlap,58,58,0,1.0,0.0,1.0,1.0,,,6.8512
qwen3_14b_thinking,C,C_overlap,53,53,0,1.0,0.0,0.9811,0.9811,,,5.0739
qwen3_8b,C,C_overlap,95,95,0,1.0,0.0,0.9368,0.9368,,,5.6108
seed_oss_36b,C,C_overlap,47,47,0,1.0,0.0,0.8511,0.8511,,,15.391
hunyuan_a13b,D,D_multihop,51,51,0,1.0,0.0,0.6863,0.6863,,,9.1249
qwen35_122b_a10b,D,D_multihop,45,45,0,1.0,0.0,0.9111,0.9111,,,8.6409
qwen35_27b,D,D_multihop,73,73,0,1.0,0.0,1.0,1.0,,,9.3811
qwen35_35b_a3b,D,D_multihop,95,95,0,1.0,0.0,0.5684,0.5684,,,7.4779
qwen35_9b,D,D_multihop,100,100,0,1.0,0.0,1.0,1.0,,,5.4618
qwen3_14b_no_thinking,D,D_multihop,39,39,0,1.0,0.0,0.6923,0.6923,,,5.3811
qwen3_14b_thinking,D,D_multihop,41,41,0,1.0,0.0,0.7561,0.7561,,,5.6802
qwen3_8b,D,D_multihop,72,72,0,1.0,0.0,0.9028,0.9028,,,5.1157
seed_oss_36b,D,D_multihop,39,39,0,1.0,0.0,0.8974,0.8974,,,7.0092
