model,decoy_count,n_total,n_eval,n_api_error,accuracy,score_all,decoy_capture_rate,omission_rate,near_miss_rate,api_error_rate,mean_latency
qwen35_122b_a10b,0,5,1,4,1.0,0.2,0.0,0.0,0.0,0.8,5.366
qwen35_35b_a3b,0,5,4,1,1.0,0.8,0.0,0.0,0.0,0.2,2.853
qwen35_9b,0,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,4.447
qwen35_122b_a10b,128,5,2,3,1.0,0.4,0.0,0.0,0.0,0.6,6.869
qwen35_35b_a3b,128,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,3.338
qwen35_9b,128,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,5.035
qwen35_122b_a10b,256,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,10.637
qwen35_35b_a3b,256,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,13.887
qwen35_9b,256,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,5.571
qwen35_122b_a10b,384,5,2,3,1.0,0.4,0.0,0.0,0.0,0.6,5.954
qwen35_35b_a3b,384,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,23.802
qwen35_9b,384,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,4.722
qwen35_122b_a10b,512,5,4,1,1.0,0.8,0.0,0.0,0.0,0.2,4.85
qwen35_35b_a3b,512,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,13.873
qwen35_9b,512,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,4.328
