model,decoy_count,n_total,n_eval,n_api_error,accuracy,score_all,decoy_capture_rate,omission_rate,near_miss_rate,api_error_rate,mean_latency
qwen35_122b_a10b,0,5,2,3,1.0,0.4,0.0,0.0,0.0,0.6,4.292
qwen35_35b_a3b,0,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,10.635
qwen35_9b,0,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,8.226
qwen35_122b_a10b,64,5,1,4,1.0,0.2,0.0,0.0,0.0,0.8,3.822
qwen35_35b_a3b,64,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,37.09
qwen35_9b,64,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,3.668
qwen35_122b_a10b,128,5,4,1,1.0,0.8,0.0,0.0,0.0,0.2,13.84
qwen35_35b_a3b,128,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,2.648
qwen35_9b,128,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,4.112
qwen35_122b_a10b,256,5,1,4,1.0,0.2,0.0,0.0,0.0,0.8,81.614
qwen35_35b_a3b,256,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,6.511
qwen35_9b,256,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,14.64
