model,decoy_count,n_total,n_eval,n_api_error,accuracy,score_all,decoy_capture_rate,omission_rate,near_miss_rate,api_error_rate,mean_latency
qwen35_122b_a10b,0,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,17.258
qwen35_35b_a3b,0,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,1.979
qwen35_9b,0,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,2.94
qwen35_122b_a10b,128,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,2.447
qwen35_35b_a3b,128,5,5,0,0.8,0.8,0.2,0.0,0.0,0.0,1.987
qwen35_9b,128,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,3.887
qwen35_122b_a10b,256,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,3.116
qwen35_35b_a3b,256,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,2.715
qwen35_9b,256,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,4.237
qwen35_122b_a10b,512,5,0,5,,0.0,,,,1.0,
qwen35_35b_a3b,512,5,4,1,1.0,0.8,0.0,0.0,0.0,0.2,2.782
qwen35_9b,512,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,6.131
qwen35_122b_a10b,768,5,0,5,,0.0,,,,1.0,
qwen35_35b_a3b,768,5,4,1,1.0,0.8,0.0,0.0,0.0,0.2,29.757
qwen35_9b,768,5,5,0,1.0,1.0,0.0,0.0,0.0,0.0,8.247
