subset,model,error_type,count
PAC-A_position,qwen35_122b_a10b,correct,7
PAC-A_position,qwen35_122b_a10b,partial_triplet,1
PAC-A_position,qwen35_122b_a10b,request_error,2
PAC-A_position,qwen35_35b_a3b,correct,3
PAC-A_position,qwen35_35b_a3b,decoy_value_capture,2
PAC-A_position,qwen35_35b_a3b,partial_triplet,5
PAC-A_position,qwen35_9b,correct,3
PAC-A_position,qwen35_9b,decoy_value_capture,4
PAC-A_position,qwen35_9b,partial_triplet,3
PAC-B_interference,qwen35_122b_a10b,correct,2
PAC-B_interference,qwen35_122b_a10b,decoy_value_capture,1
PAC-B_interference,qwen35_122b_a10b,partial_triplet,5
PAC-B_interference,qwen35_122b_a10b,request_error,4
PAC-B_interference,qwen35_35b_a3b,correct,2
PAC-B_interference,qwen35_35b_a3b,decoy_value_capture,3
PAC-B_interference,qwen35_35b_a3b,partial_triplet,7
PAC-B_interference,qwen35_9b,correct,2
PAC-B_interference,qwen35_9b,decoy_value_capture,5
PAC-B_interference,qwen35_9b,partial_triplet,5
PAC-C_binding_capacity,qwen35_122b_a10b,correct,12
PAC-C_binding_capacity,qwen35_122b_a10b,partial_triplet,1
PAC-C_binding_capacity,qwen35_122b_a10b,request_error,5
PAC-C_binding_capacity,qwen35_35b_a3b,correct,13
PAC-C_binding_capacity,qwen35_35b_a3b,decoy_value_capture,5
PAC-C_binding_capacity,qwen35_9b,correct,8
PAC-C_binding_capacity,qwen35_9b,decoy_value_capture,5
PAC-C_binding_capacity,qwen35_9b,partial_triplet,5
PAC-D_multihop_false_chain,qwen35_122b_a10b,correct,13
PAC-D_multihop_false_chain,qwen35_122b_a10b,request_error,5
PAC-D_multihop_false_chain,qwen35_35b_a3b,correct,18
PAC-D_multihop_false_chain,qwen35_9b,correct,10
PAC-D_multihop_false_chain,qwen35_9b,decoy_value_capture,7
PAC-D_multihop_false_chain,qwen35_9b,other_error,1
