subset,condition_name,condition_value,model,n_total,n_eval,n_api_error,accuracy,mean_field_accuracy,decoy_capture_rate,partial_rate,omission_rate,near_miss_rate,api_error_rate,mean_latency
PAC-A_position,position,10,qwen35_122b_a10b,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.5,4.701
PAC-A_position,position,10,qwen35_35b_a3b,2,2,0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,5.071
PAC-A_position,position,10,qwen35_9b,2,2,0,0.0,0.8334,0.5,0.5,0.0,0.0,0.0,31.734
PAC-A_position,position,25,qwen35_122b_a10b,2,2,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.524
PAC-A_position,position,25,qwen35_35b_a3b,2,2,0,0.5,0.6666,0.5,0.0,0.0,0.0,0.0,4.663
PAC-A_position,position,25,qwen35_9b,2,2,0,0.5,0.8334,0.5,0.0,0.0,0.0,0.0,58.497
PAC-A_position,position,50,qwen35_122b_a10b,2,2,0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,4.074
PAC-A_position,position,50,qwen35_35b_a3b,2,2,0,0.0,0.6666,0.5,0.5,0.0,0.0,0.0,3.94
PAC-A_position,position,50,qwen35_9b,2,2,0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,11.148
PAC-A_position,position,75,qwen35_122b_a10b,2,2,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.206
PAC-A_position,position,75,qwen35_35b_a3b,2,2,0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,3.528
PAC-A_position,position,75,qwen35_9b,2,2,0,0.5,0.8334,0.5,0.0,0.0,0.0,0.0,5.901
PAC-A_position,position,90,qwen35_122b_a10b,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.5,4.743
PAC-A_position,position,90,qwen35_35b_a3b,2,2,0,0.0,0.8334,0.0,1.0,0.0,0.0,0.0,5.412
PAC-A_position,position,90,qwen35_9b,2,2,0,0.5,0.8334,0.0,0.5,0.0,0.0,0.0,7.161
PAC-B_interference,decoy_count,0,qwen35_122b_a10b,2,1,1,0.0,0.6667,0.0,1.0,0.0,0.0,0.5,3.194
PAC-B_interference,decoy_count,0,qwen35_35b_a3b,2,2,0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,3.535
PAC-B_interference,decoy_count,0,qwen35_9b,2,2,0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,14.716
PAC-B_interference,decoy_count,16,qwen35_122b_a10b,2,0,2,,,,,,,1.0,
PAC-B_interference,decoy_count,16,qwen35_35b_a3b,2,2,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,29.751
PAC-B_interference,decoy_count,16,qwen35_9b,2,2,0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,31.616
PAC-B_interference,decoy_count,32,qwen35_122b_a10b,2,2,0,0.5,0.8334,0.0,0.5,0.0,0.0,0.0,3.041
PAC-B_interference,decoy_count,32,qwen35_35b_a3b,2,2,0,0.5,0.8334,0.5,0.0,0.0,0.0,0.0,13.363
PAC-B_interference,decoy_count,32,qwen35_9b,2,2,0,0.5,0.6666,0.5,0.0,0.0,0.0,0.0,6.347
PAC-B_interference,decoy_count,64,qwen35_122b_a10b,2,2,0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,3.379
PAC-B_interference,decoy_count,64,qwen35_35b_a3b,2,2,0,0.0,0.6666,0.5,0.5,0.0,0.0,0.0,3.576
PAC-B_interference,decoy_count,64,qwen35_9b,2,2,0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,6.42
PAC-B_interference,decoy_count,128,qwen35_122b_a10b,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.5,5.54
PAC-B_interference,decoy_count,128,qwen35_35b_a3b,2,2,0,0.0,0.8334,0.5,0.5,0.0,0.0,0.0,3.365
PAC-B_interference,decoy_count,128,qwen35_9b,2,2,0,0.0,0.6667,0.5,0.5,0.0,0.0,0.0,6.55
PAC-B_interference,decoy_count,192,qwen35_122b_a10b,2,2,0,0.0,0.8334,0.0,1.0,0.0,0.0,0.0,5.677
PAC-B_interference,decoy_count,192,qwen35_35b_a3b,2,2,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.128
PAC-B_interference,decoy_count,192,qwen35_9b,2,2,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,32.695
PAC-C_binding_capacity,binding_k/query_count,16/3,qwen35_122b_a10b,2,2,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.228
PAC-C_binding_capacity,binding_k/query_count,16/3,qwen35_35b_a3b,2,2,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.556
PAC-C_binding_capacity,binding_k/query_count,16/3,qwen35_9b,2,2,0,0.0,0.6667,0.0,1.0,0.0,0.0,0.0,6.283
PAC-C_binding_capacity,binding_k/query_count,16/5,qwen35_122b_a10b,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.5,3.292
PAC-C_binding_capacity,binding_k/query_count,16/5,qwen35_35b_a3b,2,2,0,0.5,0.9,0.5,0.0,0.0,0.0,0.0,3.504
PAC-C_binding_capacity,binding_k/query_count,16/5,qwen35_9b,2,2,0,0.5,0.9,0.5,0.0,0.0,0.0,0.0,7.656
PAC-C_binding_capacity,binding_k/query_count,16/8,qwen35_122b_a10b,2,1,1,0.0,0.875,0.0,1.0,0.0,0.0,0.5,4.779
PAC-C_binding_capacity,binding_k/query_count,16/8,qwen35_35b_a3b,2,2,0,0.5,0.9375,0.5,0.0,0.0,0.0,0.0,4.222
PAC-C_binding_capacity,binding_k/query_count,16/8,qwen35_9b,2,2,0,0.0,0.625,1.0,0.0,0.0,0.0,0.0,16.208
PAC-C_binding_capacity,binding_k/query_count,32/3,qwen35_122b_a10b,2,2,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.447
PAC-C_binding_capacity,binding_k/query_count,32/3,qwen35_35b_a3b,2,2,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.611
PAC-C_binding_capacity,binding_k/query_count,32/3,qwen35_9b,2,2,0,0.5,0.6666,0.0,0.5,0.0,0.0,0.0,6.069
PAC-C_binding_capacity,binding_k/query_count,32/5,qwen35_122b_a10b,2,0,2,,,,,,,1.0,
PAC-C_binding_capacity,binding_k/query_count,32/5,qwen35_35b_a3b,2,2,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.782
PAC-C_binding_capacity,binding_k/query_count,32/5,qwen35_9b,2,2,0,0.5,0.9,0.5,0.0,0.0,0.0,0.0,7.988
PAC-C_binding_capacity,binding_k/query_count,32/8,qwen35_122b_a10b,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.5,4.486
PAC-C_binding_capacity,binding_k/query_count,32/8,qwen35_35b_a3b,2,2,0,0.5,0.875,0.5,0.0,0.0,0.0,0.0,4.258
PAC-C_binding_capacity,binding_k/query_count,32/8,qwen35_9b,2,2,0,0.5,0.9375,0.0,0.5,0.0,0.0,0.0,13.262
PAC-C_binding_capacity,binding_k/query_count,64/3,qwen35_122b_a10b,2,2,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.344
