subset,condition_name,condition_value,model,n_total,n_eval,n_api_error,accuracy,mean_field_accuracy,decoy_capture_rate,partial_rate,omission_rate,near_miss_rate,api_error_rate,mean_latency
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/16,qwen35_122b_a10b,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.776
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/16,qwen35_35b_a3b,1,1,0,0.0,0.6667,0.0,1.0,0.0,0.0,0.0,6.978
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/16,qwen3_14b_thinking,1,0,1,,,,,,,1.0,
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/32,qwen35_122b_a10b,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.947
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/32,qwen35_35b_a3b,1,1,0,0.0,0.6667,0.0,1.0,0.0,0.0,0.0,8.896
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/32,qwen3_14b_thinking,1,0,1,,,,,,,1.0,
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/16,qwen35_122b_a10b,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.538
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/16,qwen35_35b_a3b,1,1,0,0.0,0.6667,0.0,1.0,0.0,0.0,0.0,3.56
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/16,qwen3_14b_thinking,1,0,1,,,,,,,1.0,
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/32,qwen35_122b_a10b,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.619
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/32,qwen35_35b_a3b,1,1,0,0.0,0.6667,0.0,1.0,0.0,0.0,0.0,4.035
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/32,qwen3_14b_thinking,1,0,1,,,,,,,1.0,
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/16,qwen35_122b_a10b,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.751
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/16,qwen35_35b_a3b,1,1,0,0.0,0.6667,0.0,1.0,0.0,0.0,0.0,4.412
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/16,qwen3_14b_thinking,1,0,1,,,,,,,1.0,
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/32,qwen35_122b_a10b,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.708
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/32,qwen35_35b_a3b,1,1,0,0.0,0.6667,0.0,1.0,0.0,0.0,0.0,7.673
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/32,qwen3_14b_thinking,1,0,1,,,,,,,1.0,
