subset,condition_name,condition_value,model,n_total,n_eval,n_api_error,coverage,api_error_rate,accuracy_success,accuracy_all_conservative,mean_field_accuracy,mean_field_accuracy_all,decoy_capture_rate,partial_rate,omission_rate,near_miss_rate,mean_latency_sec,prompt_tokens_mean,completion_tokens_mean
PAC-A_position,position,10,qwen35_9b,15,15,0,1.0,0.0,0.266667,0.266667,0.599993,0.599993,0.4,0.333333,0.0,0.0,8.082324,36237.866667,27.533333
PAC-A_position,position,10,qwen3_8b,15,15,0,1.0,0.0,0.0,0.0,0.200007,0.200007,0.333333,0.0,0.0,0.0,10.710552,35184.2,136.4
PAC-A_position,position,10,qwen35_27b,15,15,0,1.0,0.0,0.8,0.8,0.888887,0.888887,0.133333,0.066667,0.0,0.0,10.682726,36237.866667,26.933333
PAC-A_position,position,10,qwen35_35b_a3b,15,15,0,1.0,0.0,0.066667,0.066667,0.822227,0.822227,0.266667,0.666667,0.0,0.0,8.650334,36237.866667,27.2
PAC-A_position,position,10,qwen35_122b_a10b,15,15,0,1.0,0.0,0.533333,0.533333,0.95556,0.95556,0.066667,0.4,0.0,0.0,4.755419,36237.866667,27.066667
PAC-A_position,position,10,qwen3_14b_no_thinking,15,14,1,0.933333,0.066667,0.071429,0.066667,0.642879,0.60002,0.714286,0.214286,0.0,0.0,14.275093,34972.733333,26.357143
PAC-A_position,position,10,qwen3_14b_thinking,15,0,15,0.0,1.0,,0.0,,0.0,,,,,0.0,31985.466667,
PAC-A_position,position,10,hunyuan_a13b,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.702075,35176.2,192.0
PAC-A_position,position,10,seed_oss_36b,15,7,8,0.466667,0.533333,0.285714,0.133333,0.285714,0.133333,0.0,0.0,0.0,0.0,19.674447,34500.266667,147.142857
PAC-A_position,position,25,qwen35_9b,15,15,0,1.0,0.0,0.466667,0.466667,0.755553,0.755553,0.266667,0.266667,0.0,0.0,8.580761,36232.2,27.2
PAC-A_position,position,25,qwen3_8b,15,15,0,1.0,0.0,0.0,0.0,0.22222,0.22222,0.133333,0.2,0.0,0.0,13.418322,35181.133333,154.2
PAC-A_position,position,25,qwen35_27b,15,15,0,1.0,0.0,0.533333,0.533333,0.93334,0.93334,0.133333,0.333333,0.0,0.0,27.86188,36232.2,27.2
PAC-A_position,position,25,qwen35_35b_a3b,15,15,0,1.0,0.0,0.2,0.2,0.733353,0.733353,0.466667,0.333333,0.0,0.0,6.552549,36232.2,27.0
PAC-A_position,position,25,qwen35_122b_a10b,15,15,0,1.0,0.0,0.466667,0.466667,0.91112,0.91112,0.133333,0.4,0.0,0.0,5.344627,36232.2,26.266667
PAC-A_position,position,25,qwen3_14b_no_thinking,15,15,0,1.0,0.0,0.066667,0.066667,0.622227,0.622227,0.6,0.333333,0.0,0.0,12.637527,35181.133333,26.4
PAC-A_position,position,25,qwen3_14b_thinking,15,2,13,0.133333,0.866667,0.0,0.0,0.66665,0.088887,0.5,0.5,0.0,0.0,5.764824,32414.0,870.5
PAC-A_position,position,25,hunyuan_a13b,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.866667,0.0,10.629198,35173.133333,192.0
PAC-A_position,position,25,seed_oss_36b,15,4,11,0.266667,0.733333,0.25,0.066667,0.25,0.066667,0.0,0.0,0.0,0.0,16.550231,33425.866667,164.0
PAC-A_position,position,50,qwen35_9b,15,15,0,1.0,0.0,0.133333,0.133333,0.57778,0.57778,0.466667,0.4,0.0,0.0,7.417865,36238.466667,27.733333
PAC-A_position,position,50,qwen3_8b,15,15,0,1.0,0.0,0.0,0.0,0.066667,0.066667,0.0,0.066667,0.0,0.0,11.396135,35187.933333,180.866667
PAC-A_position,position,50,qwen35_27b,15,15,0,1.0,0.0,0.666667,0.666667,0.866667,0.866667,0.266667,0.066667,0.0,0.0,16.792227,36238.466667,27.733333
PAC-A_position,position,50,qwen35_35b_a3b,15,15,0,1.0,0.0,0.333333,0.333333,0.888893,0.888893,0.133333,0.533333,0.0,0.0,9.328873,36238.466667,27.6
PAC-A_position,position,50,qwen35_122b_a10b,15,15,0,1.0,0.0,0.533333,0.533333,0.866673,0.866673,0.2,0.266667,0.0,0.0,4.728036,36238.466667,26.533333
PAC-A_position,position,50,qwen3_14b_no_thinking,15,14,1,0.933333,0.066667,0.142857,0.133333,0.761914,0.71112,0.5,0.357143,0.0,0.0,13.989403,34975.6,26.428571
PAC-A_position,position,50,qwen3_14b_thinking,15,0,15,0.0,1.0,,0.0,,0.0,,,,,0.0,31981.533333,
PAC-A_position,position,50,hunyuan_a13b,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.848989,35179.933333,192.0
PAC-A_position,position,50,seed_oss_36b,15,8,7,0.533333,0.466667,0.25,0.133333,0.583338,0.311113,0.125,0.25,0.0,0.0,16.322541,34841.933333,97.75
PAC-A_position,position,75,qwen35_9b,15,15,0,1.0,0.0,0.066667,0.066667,0.6,0.6,0.4,0.533333,0.0,0.0,8.601893,36222.066667,26.866667
PAC-A_position,position,75,qwen3_8b,15,15,0,1.0,0.0,0.0,0.0,0.02222,0.02222,0.133333,0.0,0.0,0.0,12.599485,35169.6,180.933333
