subset,model,n_total,n_eval,n_api_error,coverage,api_error_rate,accuracy_success,accuracy_all_conservative,mean_field_accuracy,mean_field_accuracy_all,decoy_capture_rate,partial_rate,omission_rate,near_miss_rate,mean_latency_sec,prompt_tokens_mean,completion_tokens_mean,condition_sort
PAC-A_position,qwen35_9b,75,75,0,1.0,0.0,0.24,0.24,0.671112,0.671112,0.333333,0.426667,0.0,0.0,8.7654,36233.84,27.24,10.0
PAC-A_position,qwen3_8b,75,75,0,1.0,0.0,0.0,0.0,0.115556,0.115556,0.173333,0.053333,0.0,0.0,13.282349,35181.613333,164.466667,10.0
PAC-A_position,qwen35_27b,75,75,0,1.0,0.0,0.586667,0.586667,0.89778,0.89778,0.173333,0.24,0.0,0.0,17.201433,36233.84,27.093333,10.0
PAC-A_position,qwen35_35b_a3b,75,75,0,1.0,0.0,0.12,0.12,0.848897,0.848897,0.226667,0.653333,0.0,0.0,8.671912,36233.84,27.2,10.0
PAC-A_position,qwen35_122b_a10b,75,75,0,1.0,0.0,0.466667,0.466667,0.893341,0.893341,0.16,0.373333,0.0,0.0,4.646835,36233.84,26.8,10.0
PAC-A_position,qwen3_14b_no_thinking,75,73,2,0.973333,0.026667,0.082192,0.08,0.671241,0.653341,0.589041,0.328767,0.0,0.0,11.671426,35096.853333,26.273973,10.0
PAC-A_position,qwen3_14b_thinking,75,6,69,0.08,0.92,0.166667,0.013333,0.666667,0.053333,0.333333,0.5,0.0,0.0,3.596432,32239.813333,310.166667,10.0
PAC-A_position,hunyuan_a13b,75,75,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.946667,0.0,10.621339,35173.613333,192.0,10.0
PAC-A_position,seed_oss_36b,75,29,46,0.386667,0.613333,0.344828,0.133333,0.436783,0.168889,0.034483,0.068966,0.0,0.0,19.883806,34064.306667,126.241379,10.0
PAC-B_interference,qwen35_9b,72,72,0,1.0,0.0,0.319444,0.319444,0.726861,0.726861,0.402778,0.277778,0.0,0.0,9.065105,36301.0,27.125,0.0
PAC-B_interference,qwen3_8b,72,72,0,1.0,0.0,0.041667,0.041667,0.162038,0.162038,0.055556,0.111111,0.0,0.0,11.938591,35302.916667,159.708333,0.0
PAC-B_interference,qwen35_27b,72,72,0,1.0,0.0,0.583333,0.583333,0.916674,0.916674,0.208333,0.208333,0.0,0.0,36.150342,36301.0,27.111111,0.0
