subset,model,rows,eval,api_error
PAC-A_position,qwen35_122b_a10b,75,75,0
PAC-A_position,qwen35_27b,75,75,0
PAC-A_position,qwen35_35b_a3b,75,75,0
PAC-A_position,qwen35_9b,75,75,0
PAC-A_position,qwen3_14b_no_thinking,75,75,0
PAC-A_position,qwen3_14b_thinking,75,30,45
PAC-A_position,qwen3_8b,75,75,0
PAC-A_position,seed_oss_36b,75,58,17
PAC-B_interference,qwen35_122b_a10b,72,72,0
PAC-B_interference,qwen35_27b,72,72,0
PAC-B_interference,qwen35_35b_a3b,72,72,0
PAC-B_interference,qwen35_9b,72,72,0
PAC-B_interference,qwen3_14b_no_thinking,72,72,0
PAC-B_interference,qwen3_14b_thinking,72,36,36
PAC-B_interference,qwen3_8b,72,72,0
PAC-B_interference,seed_oss_36b,72,69,3
PAC-C_binding_capacity,qwen35_122b_a10b,72,72,0
PAC-C_binding_capacity,qwen35_27b,72,72,0
PAC-C_binding_capacity,qwen35_35b_a3b,72,72,0
PAC-C_binding_capacity,qwen35_9b,72,72,0
PAC-C_binding_capacity,qwen3_14b_no_thinking,72,72,0
PAC-C_binding_capacity,qwen3_14b_thinking,72,70,2
PAC-C_binding_capacity,qwen3_8b,72,72,0
PAC-C_binding_capacity,seed_oss_36b,72,72,0
PAC-D_multihop_false_chain,qwen35_122b_a10b,12,12,0
PAC-D_multihop_false_chain,qwen35_27b,12,12,0
PAC-D_multihop_false_chain,qwen35_35b_a3b,12,12,0
PAC-D_multihop_false_chain,qwen35_9b,12,12,0
PAC-D_multihop_false_chain,qwen3_14b_no_thinking,12,12,0
PAC-D_multihop_false_chain,qwen3_14b_thinking,12,10,2
PAC-D_multihop_false_chain,qwen3_8b,12,12,0
PAC-D_multihop_false_chain,seed_oss_36b,12,12,0
