subset,condition_name,condition_value,model,n_total,n_eval,n_api_error,accuracy,mean_field_accuracy,decoy_capture_rate,partial_rate,omission_rate,near_miss_rate,api_error_rate,mean_latency
PAC-A_position,position,10,qwen35_122b_a10b,15,15,0,0.5333,0.9556,0.0667,0.4,0.0,0.0,0.0,4.755
PAC-A_position,position,10,qwen35_27b,15,15,0,0.8,0.8889,0.1333,0.0667,0.0,0.0,0.0,10.683
PAC-A_position,position,10,qwen35_35b_a3b,15,15,0,0.0667,0.8222,0.2667,0.6667,0.0,0.0,0.0,8.65
PAC-A_position,position,10,qwen35_9b,15,15,0,0.2667,0.6,0.4,0.3333,0.0,0.0,0.0,8.082
PAC-A_position,position,10,qwen3_14b_no_thinking,15,15,0,0.0667,0.6445,0.7333,0.2,0.0,0.0,0.0,14.989
PAC-A_position,position,10,qwen3_14b_thinking,15,7,8,0.0,0.0476,1.0,0.0,0.0,0.0,0.5333,534.344
PAC-A_position,position,10,qwen3_8b,15,15,0,0.0,0.2,0.3333,0.0,0.0,0.0,0.0,10.711
PAC-A_position,position,10,seed_oss_36b,15,13,2,0.1538,0.1538,0.1538,0.0,0.0,0.0,0.1333,227.566
PAC-A_position,position,25,qwen35_122b_a10b,15,15,0,0.4667,0.9111,0.1333,0.4,0.0,0.0,0.0,5.345
PAC-A_position,position,25,qwen35_27b,15,15,0,0.5333,0.9333,0.1333,0.3333,0.0,0.0,0.0,27.862
PAC-A_position,position,25,qwen35_35b_a3b,15,15,0,0.2,0.7334,0.4667,0.3333,0.0,0.0,0.0,6.553
PAC-A_position,position,25,qwen35_9b,15,15,0,0.4667,0.7556,0.2667,0.2667,0.0,0.0,0.0,8.581
PAC-A_position,position,25,qwen3_14b_no_thinking,15,15,0,0.0667,0.6222,0.6,0.3333,0.0,0.0,0.0,12.638
PAC-A_position,position,25,qwen3_14b_thinking,15,6,9,0.0,0.5,0.6667,0.3333,0.0,0.0,0.6,461.32
PAC-A_position,position,25,qwen3_8b,15,15,0,0.0,0.2222,0.1333,0.2,0.0,0.0,0.0,13.418
PAC-A_position,position,25,seed_oss_36b,15,11,4,0.1818,0.2727,0.5455,0.0,0.0,0.0,0.2667,508.535
PAC-A_position,position,50,qwen35_122b_a10b,15,15,0,0.5333,0.8667,0.2,0.2667,0.0,0.0,0.0,4.728
PAC-A_position,position,50,qwen35_27b,15,15,0,0.6667,0.8667,0.2667,0.0667,0.0,0.0,0.0,16.792
PAC-A_position,position,50,qwen35_35b_a3b,15,15,0,0.3333,0.8889,0.1333,0.5333,0.0,0.0,0.0,9.329
PAC-A_position,position,50,qwen35_9b,15,15,0,0.1333,0.5778,0.4667,0.4,0.0,0.0,0.0,7.418
PAC-A_position,position,50,qwen3_14b_no_thinking,15,15,0,0.2,0.7778,0.4667,0.3333,0.0,0.0,0.0,14.34
PAC-A_position,position,50,qwen3_14b_thinking,15,5,10,0.0,0.2667,0.8,0.2,0.0,0.0,0.6667,281.715
PAC-A_position,position,50,qwen3_8b,15,15,0,0.0,0.0667,0.0,0.0667,0.0,0.0,0.0,11.396
PAC-A_position,position,50,seed_oss_36b,15,12,3,0.3333,0.6389,0.25,0.1667,0.0,0.0,0.2,214.94
PAC-A_position,position,75,qwen35_122b_a10b,15,15,0,0.5333,0.9111,0.1333,0.3333,0.0,0.0,0.0,4.392
PAC-A_position,position,75,qwen35_27b,15,15,0,0.4,0.8667,0.2,0.4,0.0,0.0,0.0,19.758
