subset,model,n_total,n_eval,n_api_error,accuracy,mean_field_accuracy,decoy_capture_rate,partial_rate,omission_rate,near_miss_rate,api_error_rate,mean_latency
PAC-A_position,qwen35_122b_a10b,75,75,0,0.4667,0.8933,0.16,0.3733,0.0,0.0,0.0,4.647
PAC-A_position,qwen35_27b,75,75,0,0.5867,0.8978,0.1733,0.24,0.0,0.0,0.0,17.201
PAC-A_position,qwen35_35b_a3b,75,75,0,0.12,0.8489,0.2267,0.6533,0.0,0.0,0.0,8.672
PAC-A_position,qwen35_9b,75,75,0,0.24,0.6711,0.3333,0.4267,0.0,0.0,0.0,8.765
PAC-A_position,qwen3_14b_no_thinking,75,75,0,0.0933,0.6756,0.5867,0.32,0.0,0.0,0.0,11.884
PAC-A_position,qwen3_14b_thinking,75,30,45,0.0667,0.3333,0.7333,0.2,0.0,0.0,0.6,347.849
PAC-A_position,qwen3_8b,75,75,0,0.0,0.1156,0.1733,0.0533,0.0,0.0,0.0,13.282
PAC-A_position,seed_oss_36b,75,58,17,0.2759,0.3621,0.3103,0.0345,0.0,0.0,0.2267,340.106
PAC-B_interference,qwen35_122b_a10b,72,72,0,0.4444,0.8796,0.2222,0.3333,0.0,0.0,0.0,4.568
PAC-B_interference,qwen35_27b,72,72,0,0.5833,0.9167,0.2083,0.2083,0.0,0.0,0.0,36.15
PAC-B_interference,qwen35_35b_a3b,72,72,0,0.2222,0.8472,0.2917,0.4861,0.0,0.0,0.0,10.201
PAC-B_interference,qwen35_9b,72,72,0,0.3194,0.7269,0.4028,0.2778,0.0,0.0,0.0,9.065
PAC-B_interference,qwen3_14b_no_thinking,72,72,0,0.2361,0.7593,0.4444,0.3194,0.0,0.0,0.0,16.613
PAC-B_interference,qwen3_14b_thinking,72,36,36,0.1667,0.5556,0.6667,0.1667,0.0,0.0,0.5,456.822
PAC-B_interference,qwen3_8b,72,72,0,0.0417,0.162,0.0556,0.1111,0.0,0.0,0.0,11.939
PAC-B_interference,seed_oss_36b,72,69,3,0.4928,0.7005,0.1594,0.1304,0.0,0.0,0.0417,126.156
PAC-C_binding_capacity,qwen35_122b_a10b,72,72,0,0.8472,0.9557,0.0694,0.0833,0.0,0.0,0.0,5.496
PAC-C_binding_capacity,qwen35_27b,72,72,0,0.8889,0.9667,0.0694,0.0417,0.0,0.0,0.0,20.946
PAC-C_binding_capacity,qwen35_35b_a3b,72,72,0,0.6667,0.9281,0.125,0.2083,0.0,0.0,0.0,8.261
PAC-C_binding_capacity,qwen35_9b,72,72,0,0.4722,0.8414,0.2222,0.2917,0.0,0.0,0.0,11.028
PAC-C_binding_capacity,qwen3_14b_no_thinking,72,72,0,0.1389,0.5637,0.5139,0.3472,0.0,0.0,0.0,11.499
PAC-C_binding_capacity,qwen3_14b_thinking,72,70,2,0.5857,0.8977,0.1143,0.3,0.0,0.0,0.0278,103.236
PAC-C_binding_capacity,qwen3_8b,72,72,0,0.0,0.1036,0.0417,0.3194,0.0,0.0,0.0,13.279
PAC-C_binding_capacity,seed_oss_36b,72,72,0,0.7361,0.9009,0.1111,0.1111,0.0,0.0,0.0,71.386
PAC-D_multihop_false_chain,qwen35_122b_a10b,12,12,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.932
PAC-D_multihop_false_chain,qwen35_27b,12,12,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.565
PAC-D_multihop_false_chain,qwen35_35b_a3b,12,12,0,0.0,0.6667,0.0,1.0,0.0,0.0,0.0,5.941
PAC-D_multihop_false_chain,qwen35_9b,12,12,0,0.0833,0.6667,0.0,0.9167,0.0,0.0,0.0,11.447
PAC-D_multihop_false_chain,qwen3_14b_no_thinking,12,12,0,0.0,0.5833,0.0833,0.9167,0.0,0.0,0.0,19.041
PAC-D_multihop_false_chain,qwen3_14b_thinking,12,10,2,0.6,0.8667,0.0,0.4,0.0,0.0,0.1667,73.544
PAC-D_multihop_false_chain,qwen3_8b,12,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.093
PAC-D_multihop_false_chain,seed_oss_36b,12,12,0,0.3333,0.9167,0.0,0.6667,0.0,0.0,0.0,45.549
