subset,model,n_total,n_eval,n_api_error,accuracy,mean_field_accuracy,decoy_capture_rate,partial_rate,omission_rate,near_miss_rate,api_error_rate,mean_latency
PAC-A_position,hunyuan_a13b,75,75,0,0.0,0.0,0.0,0.0,0.9467,0.0,0.0,10.621
PAC-A_position,qwen35_122b_a10b,75,75,0,0.4667,0.8933,0.16,0.3733,0.0,0.0,0.0,4.647
PAC-A_position,qwen35_27b,75,75,0,0.5867,0.8978,0.1733,0.24,0.0,0.0,0.0,17.201
PAC-A_position,qwen35_35b_a3b,75,75,0,0.12,0.8489,0.2267,0.6533,0.0,0.0,0.0,8.672
PAC-A_position,qwen35_9b,75,75,0,0.24,0.6711,0.3333,0.4267,0.0,0.0,0.0,8.765
PAC-A_position,qwen3_14b_no_thinking,75,73,2,0.0822,0.6712,0.589,0.3288,0.0,0.0,0.0267,11.991
PAC-A_position,qwen3_14b_thinking,75,6,69,0.1667,0.6667,0.3333,0.5,0.0,0.0,0.92,44.955
PAC-A_position,qwen3_8b,75,75,0,0.0,0.1156,0.1733,0.0533,0.0,0.0,0.0,13.282
PAC-A_position,seed_oss_36b,75,29,46,0.3448,0.4368,0.0345,0.069,0.0,0.0,0.6133,51.424
PAC-B_interference,hunyuan_a13b,72,72,0,0.0,0.0,0.0,0.0,0.9028,0.0,0.0,10.55
PAC-B_interference,qwen35_122b_a10b,72,72,0,0.4444,0.8796,0.2222,0.3333,0.0,0.0,0.0,4.568
PAC-B_interference,qwen35_27b,72,72,0,0.5833,0.9167,0.2083,0.2083,0.0,0.0,0.0,36.15
PAC-B_interference,qwen35_35b_a3b,72,72,0,0.2222,0.8472,0.2917,0.4861,0.0,0.0,0.0,10.201
PAC-B_interference,qwen35_9b,72,72,0,0.3194,0.7269,0.4028,0.2778,0.0,0.0,0.0,9.065
PAC-B_interference,qwen3_14b_no_thinking,72,69,3,0.2464,0.7633,0.4348,0.3188,0.0,0.0,0.0417,12.632
PAC-B_interference,qwen3_14b_thinking,72,4,68,0.5,0.8334,0.5,0.0,0.0,0.0,0.9444,73.77
PAC-B_interference,qwen3_8b,72,72,0,0.0417,0.162,0.0556,0.1111,0.0,0.0,0.0,11.939
PAC-B_interference,seed_oss_36b,72,37,35,0.4054,0.6486,0.0541,0.2162,0.0,0.0,0.4861,29.659
PAC-C_binding_capacity,qwen35_122b_a10b,72,72,0,0.8472,0.9557,0.0694,0.0833,0.0,0.0,0.0,5.496
PAC-C_binding_capacity,qwen35_35b_a3b,72,72,0,0.6667,0.9281,0.125,0.2083,0.0,0.0,0.0,8.261
PAC-C_binding_capacity,qwen35_9b,72,72,0,0.4722,0.8414,0.2222,0.2917,0.0,0.0,0.0,11.028
PAC-C_binding_capacity,qwen3_14b_no_thinking,72,71,1,0.1408,0.566,0.507,0.3521,0.0,0.0,0.0139,11.554
PAC-C_binding_capacity,qwen3_14b_thinking,72,51,21,0.6863,0.9353,0.098,0.2157,0.0,0.0,0.2917,66.801
PAC-C_binding_capacity,seed_oss_36b,72,35,37,0.6857,0.8579,0.1429,0.0857,0.0,0.0,0.5139,30.503
PAC-D_multihop_false_chain,qwen35_122b_a10b,12,12,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.932
PAC-D_multihop_false_chain,qwen35_35b_a3b,12,12,0,0.0,0.6667,0.0,1.0,0.0,0.0,0.0,5.941
PAC-D_multihop_false_chain,qwen3_14b_no_thinking,12,12,0,0.0,0.5833,0.0833,0.9167,0.0,0.0,0.0,19.041
PAC-D_multihop_false_chain,qwen3_14b_thinking,12,8,4,0.625,0.875,0.0,0.375,0.0,0.0,0.3333,60.641
PAC-D_multihop_false_chain,seed_oss_36b,12,7,5,0.1429,0.9048,0.0,0.8571,0.0,0.0,0.4167,27.233
