model,variant,target_n,success_n,completion_rate_pct,accuracy_completed_pct,raw_exact_completed_pct,accuracy_all_target_missing0_pct,top_unfinished_error
qwen3_8b,single,450,216,48.0,99.54,99.54,47.78,skipped_by_model_length:150; 429_tpm_limit:84
qwen3_8b,multi,200,118,59.0,91.53,91.53,54.0,429_tpm_limit:82
qwen3_8b,sequential,100,56,56.0,100.0,100.0,56.0,429_tpm_limit:44
qwen35_9b,single,450,312,69.33,100.0,100.0,69.33,429_tpm_limit:138
qwen35_9b,multi,200,161,80.5,100.0,100.0,80.5,429_tpm_limit:39
qwen35_9b,sequential,100,77,77.0,100.0,100.0,77.0,429_tpm_limit:23
qwen3_14b_no_thinking,single,450,18,4.0,100.0,100.0,4.0,403_balance:233; skipped_by_model_length:150; 429_tpm_limit:45
qwen3_14b_no_thinking,multi,200,12,6.0,91.67,91.67,5.5,403_balance:163; 429_tpm_limit:25
qwen3_14b_no_thinking,sequential,100,4,4.0,100.0,100.0,4.0,403_balance:79; 429_tpm_limit:16; 401_invalid_key:1
qwen3_14b_thinking,single,450,16,3.56,100.0,100.0,3.56,403_balance:242; skipped_by_model_length:150; 429_tpm_limit:41
qwen3_14b_thinking,multi,200,16,8.0,93.75,93.75,7.5,403_balance:155; 429_tpm_limit:27; BadRequestError('<html>\r\n<head><title>400 Bad Request</title></head>\r\n<body :1
qwen3_14b_thinking,sequential,100,1,1.0,100.0,100.0,1.0,403_balance:82; 429_tpm_limit:17
hunyuan_a13b,single,450,20,4.44,0.0,0.0,0.0,403_balance:359; 429_tpm_limit:67; 401_invalid_key:4
hunyuan_a13b,multi,200,6,3.0,33.33,33.33,1.0,403_balance:161; 429_tpm_limit:31; 401_invalid_key:2
hunyuan_a13b,sequential,100,4,4.0,0.0,0.0,0.0,403_balance:78; 429_tpm_limit:17; 401_invalid_key:1
qwen35_27b,single,450,218,48.44,100.0,100.0,48.44,skipped_by_model_length:150; 429_tpm_limit:82
qwen35_27b,multi,200,112,56.0,100.0,100.0,56.0,429_tpm_limit:88
qwen35_27b,sequential,100,46,46.0,100.0,100.0,46.0,429_tpm_limit:54
qwen35_35b_a3b,single,450,194,43.11,100.0,100.0,43.11,403_balance:159; 429_tpm_limit:96; 401_invalid_key:1
qwen35_35b_a3b,multi,200,95,47.5,100.0,100.0,47.5,429_tpm_limit:104; 401_invalid_key:1
qwen35_35b_a3b,sequential,100,41,41.0,100.0,100.0,41.0,429_tpm_limit:59
seed_oss_36b,single,450,21,4.67,95.24,95.24,4.44,403_balance:228; skipped_by_model_length:150; 429_tpm_limit:48
seed_oss_36b,multi,200,12,6.0,100.0,100.0,6.0,403_balance:147; 429_tpm_limit:38; 401_invalid_key:3
seed_oss_36b,sequential,100,6,6.0,83.33,83.33,5.0,403_balance:80; 429_tpm_limit:13; 401_invalid_key:1
qwen35_122b_a10b,single,450,16,3.56,100.0,100.0,3.56,403_balance:236; skipped_by_model_length:150; 429_tpm_limit:46
qwen35_122b_a10b,multi,200,12,6.0,100.0,100.0,6.0,403_balance:166; 429_tpm_limit:20; 401_invalid_key:2
qwen35_122b_a10b,sequential,100,6,6.0,100.0,100.0,6.0,403_balance:83; 429_tpm_limit:9; 401_invalid_key:2
