model,length,target_n,success_n,completion_rate_pct,accuracy_completed_pct,raw_exact_completed_pct,accuracy_all_target_missing0_pct,top_unfinished_error
qwen3_8b,16384,50,33,66.0,100.0,100.0,66.0,429_tpm_limit:17
qwen3_8b,32768,50,23,46.0,100.0,100.0,46.0,429_tpm_limit:27
qwen35_9b,16384,50,50,100.0,100.0,100.0,100.0,
qwen35_9b,32768,50,27,54.0,100.0,100.0,54.0,429_tpm_limit:23
qwen3_14b_no_thinking,16384,50,2,4.0,100.0,100.0,4.0,403_balance:38; 429_tpm_limit:9; 401_invalid_key:1
qwen3_14b_no_thinking,32768,50,2,4.0,100.0,100.0,4.0,403_balance:41; 429_tpm_limit:7
qwen3_14b_thinking,16384,50,1,2.0,100.0,100.0,2.0,403_balance:38; 429_tpm_limit:11
qwen3_14b_thinking,32768,50,0,0.0,,,0.0,403_balance:44; 429_tpm_limit:6
hunyuan_a13b,16384,50,2,4.0,0.0,0.0,0.0,403_balance:40; 429_tpm_limit:7; 401_invalid_key:1
hunyuan_a13b,32768,50,2,4.0,0.0,0.0,0.0,403_balance:38; 429_tpm_limit:10
qwen35_27b,16384,50,26,52.0,100.0,100.0,52.0,429_tpm_limit:24
qwen35_27b,32768,50,20,40.0,100.0,100.0,40.0,429_tpm_limit:30
qwen35_35b_a3b,16384,50,24,48.0,100.0,100.0,48.0,429_tpm_limit:26
qwen35_35b_a3b,32768,50,17,34.0,100.0,100.0,34.0,429_tpm_limit:33
seed_oss_36b,16384,50,1,2.0,100.0,100.0,2.0,403_balance:40; 429_tpm_limit:8; 401_invalid_key:1
seed_oss_36b,32768,50,5,10.0,80.0,80.0,8.0,403_balance:40; 429_tpm_limit:5
qwen35_122b_a10b,16384,50,1,2.0,100.0,100.0,2.0,403_balance:42; 429_tpm_limit:6; 401_invalid_key:1
qwen35_122b_a10b,32768,50,5,10.0,100.0,100.0,10.0,403_balance:41; 429_tpm_limit:3; 401_invalid_key:1
