experiment,subtask,model,provider,api_model,length,position,density,interference_type,similarity,distance,hops,hop_distance,implementation,n_samples,n_success,accuracy,f1,rouge_l,mean_latency,p50_latency,p95_latency,error_rate,effective_context_length,effective_context_length_abs80,middle_drop,relative_middle_drop,density_accuracy_slope,density_accuracy_pearson,critical_density_threshold,top_error_type
niah,single,deepseek_r1_distill_qwen_14b,siliconflow,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,16384,10,,,,,,,,50,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,deepseek_r1_distill_qwen_14b,siliconflow,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,16384,50,,,,,,,,50,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,deepseek_r1_distill_qwen_14b,siliconflow,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,16384,90,,,,,,,,50,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,gemma4_26b_a4b,siliconflow,google/gemma-4-26B-A4B-it,16384,10,,,,,,,,50,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,gemma4_26b_a4b,siliconflow,google/gemma-4-26B-A4B-it,16384,50,,,,,,,,50,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,gemma4_26b_a4b,siliconflow,google/gemma-4-26B-A4B-it,16384,90,,,,,,,,50,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,gemma4_31b,siliconflow,google/gemma-4-31B-it,16384,10,,,,,,,,50,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,gemma4_31b,siliconflow,google/gemma-4-31B-it,16384,50,,,,,,,,50,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,gemma4_31b,siliconflow,google/gemma-4-31B-it,16384,90,,,,,,,,50,0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,
niah,single,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16384,10,,,,,,,,50,14,0.1,,,0.7054981540003792,0.0,2.726249715022277,0.72,,,,,,,,
niah,single,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16384,50,,,,,,,,50,11,0.1,,,0.6026825319975615,0.0,3.313521104934625,0.78,,,,,,,,
niah,single,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16384,90,,,,,,,,50,10,0.06,,,0.4256496959994547,0.0,2.8429285649501246,0.8,,,,,,,,
niah,single,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16384,10,,,,,,,,50,14,0.28,,,0.9329962640022859,0.0,4.206155669974394,0.72,,,,,,,,
niah,single,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16384,50,,,,,,,,50,11,0.22,,,0.6123614759976044,0.0,3.3866206900449463,0.78,,,,,,,,
niah,single,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16384,90,,,,,,,,50,10,0.2,,,0.5989737619995139,0.0,3.3750951800087927,0.8,,,,,,,,
niah,single,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16384,10,,,,,,,,50,33,0.66,,,5.051434736005031,4.67310404998716,13.85900839998503,0.34,,,,,,,,
niah,single,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16384,50,,,,,,,,50,36,0.72,,,52.146405372004956,5.041376449982636,12.851992374937975,0.28,,,,,,,,
niah,single,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16384,90,,,,,,,,50,27,0.54,,,3.2027488759928384,4.004587699950207,8.019094024942024,0.46,,,,,,,,
niah,single,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16384,10,,,,,,,,50,24,0.48,,,1.167342610002961,0.0,3.5097223399963693,0.52,,,,,,,,
niah,single,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16384,50,,,,,,,,50,19,0.38,,,1.189164979995694,0.0,3.6423174499941524,0.62,,,,,,,,
niah,single,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16384,90,,,,,,,,50,18,0.36,,,1.1259383159899152,0.0,3.5098858249548357,0.64,,,,,,,,
niah,single,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,16384,10,,,,,,,,50,50,1.0,,,3.361726569996681,3.004789200029336,5.256115324952406,0.0,,,,,,,,
